Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
093_F - Match found between block (0, 0) and block (0, 1)
093_F - Match found between block (0, 0) and block (0, 3)
093_F - Match found between block (0, 0) and block (0, 13)
093_F - Match found between block (0, 0) and block (0, 14)
093_F - Match found between block (0, 0) and block (0, 20)
093_F - Match found between block (0, 0) and block (0, 21)
093_F - Match found between block (0, 0) and block (0, 25)
093_F - Match found between block (0, 0) and block (0, 28)
093_F - Match found between block (0, 0) and block (1, 3)
093_F - Match found between block (0, 0) and block (1, 9)
093_F - Match found between block (0, 0) and block (1, 15)
093_F - Match found between block (0, 0) and block (1, 18)
093_F - Match found between block (0, 0) and block (1, 24)
093_F - Match found between block (0, 0) and block (1, 28)
093_F - Match found between block (0, 0) and block (1, 31)
093_F - Match found between block (0, 0) and block (2, 2)
093_F - Match found between block (0, 0) and block (2, 18)
093_F - Match found between block (0, 0) and block (2, 21)
093_F - Match found between block (0, 0) and block (2, 27)
093_F - Match found between block (0, 0) and block (3, 1)
093_F - Match found between block (0, 0) and block (3, 18)
093_F - Match found between block (0, 0) and block (3, 19)
093_F - Match found between block (0, 0) and block (3, 22)
093_F - Match found between block (0, 0) and block (4, 20)
093_F - Match found between block (0, 0) and block (5, 6)
093_F - Match found between block (0, 0) and block (5, 26)
093_F - Match found between block (0, 0) and block (5, 27)
093_F - Match found between block (0, 0) and block (6, 6)
093_F - Match found between block (0, 0) and block (6, 22)
093_F - Match found between block (0, 0) and block (6, 25)
093_F - Match found between block (0, 0) and block (6, 26)
093_F - Match found between block (0, 0) and block (6, 31)
093_F - Match found between block (0, 0) and block (7, 3)
093_F - Match found between block (0, 0) and block (7, 9)
093_F - Match found between block (0, 0) and block (7, 11)
093_F - Match found between block (0, 0) and block (8, 25)
093_F - Match found between block (0, 0) and block (8, 26)
093_F - Match found between block (0, 0) and block (8, 29)
093_F - Match found between block (0, 0) and block (9, 10)
093_F - Match found between block (0, 0) and block (9, 11)
093_F - Match found between block (0, 0) and block (9, 14)
093_F - Match found between block (0, 0) and block (10, 7)
093_F - Match found between block (0, 0) and block (10, 11)
093_F - Match found between block (0, 0) and block (10, 25)
093_F - Match found between block (0, 0) and block (10, 28)
093_F - Match found between block (0, 0) and block (12, 1)
093_F - Match found between block (0, 0) and block (13, 11)
093_F - Match found between block (0, 0) and block (13, 22)
093_F - Match found between block (0, 0) and block (13, 25)
093_F - Match found between block (0, 0) and block (13, 29)
093_F - Match found between block (0, 0) and block (13, 30)
093_F - Match found between block (0, 0) and block (14, 23)
093_F - Match found between block (0, 0) and block (14, 28)
093_F - Match found between block (0, 0) and block (15, 19)
093_F - Match found between block (0, 0) and block (15, 24)
093_F - Match found between block (0, 0) and block (15, 25)
093_F - Match found between block (0, 0) and block (15, 29)
093_F - Match found between block (0, 0) and block (16, 21)
093_F - Match found between block (0, 0) and block (16, 25)
093_F - Match found between block (0, 0) and block (16, 30)
093_F - Match found between block (0, 0) and block (16, 31)
093_F - Match found between block (0, 0) and block (17, 22)
093_F - Match found between block (0, 0) and block (17, 23)
093_F - Match found between block (0, 0) and block (18, 11)
093_F - Match found between block (0, 0) and block (18, 25)
093_F - Match found between block (0, 0) and block (19, 6)
093_F - Match found between block (0, 0) and block (19, 26)
093_F - Match found between block (0, 0) and block (20, 20)
093_F - Match found between block (0, 0) and block (20, 22)
093_F - Match found between block (0, 0) and block (21, 3)
093_F - Match found between block (0, 0) and block (21, 12)
093_F - Match found between block (0, 0) and block (21, 31)
093_F - Match found between block (0, 0) and block (22, 9)
093_F - Match found between block (0, 0) and block (22, 13)
093_F - Match found between block (0, 0) and block (22, 18)
093_F - Match found between block (0, 0) and block (22, 20)
093_F - Match found between block (0, 0) and block (23, 2)
093_F - Match found between block (0, 0) and block (23, 4)
093_F - Match found between block (0, 0) and block (23, 5)
093_F - Match found between block (0, 0) and block (24, 2)
093_F - Match found between block (0, 0) and block (24, 28)
093_F - Match found between block (0, 0) and block (25, 0)
093_F - Match found between block (0, 0) and block (25, 3)
093_F - Match found between block (0, 0) and block (25, 26)
093_F - Match found between block (0, 0) and block (26, 4)
093_F - Match found between block (0, 0) and block (26, 24)
093_F - Match found between block (0, 0) and block (26, 26)
093_F - Match found between block (0, 0) and block (27, 0)
093_F - Match found between block (0, 0) and block (27, 3)
093_F - Match found between block (0, 0) and block (27, 9)
093_F - Match found between block (0, 0) and block (27, 23)
093_F - Match found between block (0, 0) and block (27, 25)
093_F - Match found between block (0, 0) and block (27, 27)
093_F - Match found between block (0, 0) and block (28, 5)
093_F - Match found between block (0, 0) and block (28, 6)
093_F - Match found between block (0, 0) and block (28, 15)
093_F - Match found between block (0, 0) and block (28, 16)
093_F - Match found between block (0, 0) and block (28, 21)
093_F - Match found between block (0, 0) and block (28, 22)
093_F - Match found between block (0, 0) and block (28, 25)
093_F - Match found between block (0, 0) and block (29, 5)
093_F - Match found between block (0, 0) and block (29, 24)
093_F - Match found between block (0, 0) and block (29, 25)
093_F - Match found between block (0, 0) and block (29, 26)
093_F - Match found between block (0, 0) and block (29, 27)
093_F - Match found between block (0, 0) and block (30, 5)
093_F - Match found between block (0, 0) and block (30, 21)
093_F - Match found between block (0, 0) and block (30, 22)
093_F - Match found between block (0, 0) and block (30, 26)
093_F - Match found between block (0, 0) and block (31, 0)
093_F - Match found between block (0, 0) and block (31, 20)
093_F - Match found between block (0, 0) and block (31, 23)
093_F - Match found between block (0, 0) and block (31, 26)
093_F - Match found between block (0, 0) and block (31, 29)
093_F - Match found between block (0, 2) and block (0, 19)
093_F - Match found between block (0, 2) and block (0, 23)
093_F - Match found between block (0, 2) and block (0, 24)
093_F - Match found between block (0, 2) and block (0, 26)
093_F - Match found between block (0, 2) and block (0, 30)
093_F - Match found between block (0, 2) and block (0, 31)
093_F - Match found between block (0, 2) and block (1, 0)
093_F - Match found between block (0, 2) and block (1, 2)
093_F - Match found between block (0, 2) and block (1, 13)
093_F - Match found between block (0, 2) and block (1, 20)
093_F - Match found between block (0, 2) and block (1, 25)
093_F - Match found between block (0, 2) and block (1, 26)
093_F - Match found between block (0, 2) and block (1, 27)
093_F - Match found between block (0, 2) and block (1, 30)
093_F - Match found between block (0, 2) and block (2, 0)
093_F - Match found between block (0, 2) and block (2, 1)
093_F - Match found between block (0, 2) and block (2, 12)
093_F - Match found between block (0, 2) and block (2, 13)
093_F - Match found between block (0, 2) and block (2, 20)
093_F - Match found between block (0, 2) and block (2, 22)
093_F - Match found between block (0, 2) and block (2, 24)
093_F - Match found between block (0, 2) and block (2, 28)
093_F - Match found between block (0, 2) and block (3, 20)
093_F - Match found between block (0, 2) and block (3, 21)
093_F - Match found between block (0, 2) and block (3, 27)
093_F - Match found between block (0, 2) and block (3, 28)
093_F - Match found between block (0, 2) and block (3, 29)
093_F - Match found between block (0, 2) and block (4, 9)
093_F - Match found between block (0, 2) and block (4, 12)
093_F - Match found between block (0, 2) and block (5, 7)
093_F - Match found between block (0, 2) and block (5, 13)
093_F - Match found between block (0, 2) and block (5, 19)
093_F - Match found between block (0, 2) and block (5, 28)
093_F - Match found between block (0, 2) and block (5, 29)
093_F - Match found between block (0, 2) and block (6, 13)
093_F - Match found between block (0, 2) and block (6, 18)
093_F - Match found between block (0, 2) and block (6, 27)
093_F - Match found between block (0, 2) and block (7, 4)
093_F - Match found between block (0, 2) and block (7, 12)
093_F - Match found between block (0, 2) and block (7, 18)
093_F - Match found between block (0, 2) and block (7, 27)
093_F - Match found between block (0, 2) and block (7, 29)
093_F - Match found between block (0, 2) and block (8, 17)
093_F - Match found between block (0, 2) and block (9, 3)
093_F - Match found between block (0, 2) and block (9, 12)
093_F - Match found between block (0, 2) and block (9, 15)
093_F - Match found between block (0, 2) and block (9, 24)
093_F - Match found between block (0, 2) and block (9, 25)
093_F - Match found between block (0, 2) and block (9, 28)
093_F - Match found between block (0, 2) and block (9, 29)
093_F - Match found between block (0, 2) and block (10, 9)
093_F - Match found between block (0, 2) and block (10, 19)
093_F - Match found between block (0, 2) and block (10, 26)
