Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
151_R - Match found between block (0, 0) and block (0, 1)
151_R - Match found between block (0, 0) and block (0, 2)
151_R - Match found between block (0, 0) and block (0, 3)
151_R - Match found between block (0, 0) and block (0, 4)
151_R - Match found between block (0, 0) and block (0, 5)
151_R - Match found between block (0, 0) and block (0, 6)
151_R - Match found between block (0, 0) and block (0, 7)
151_R - Match found between block (0, 0) and block (0, 8)
151_R - Match found between block (0, 0) and block (0, 9)
151_R - Match found between block (0, 0) and block (0, 10)
151_R - Match found between block (0, 0) and block (0, 11)
151_R - Match found between block (0, 0) and block (0, 12)
151_R - Match found between block (0, 0) and block (0, 13)
151_R - Match found between block (0, 0) and block (0, 14)
151_R - Match found between block (0, 0) and block (0, 15)
151_R - Match found between block (0, 0) and block (0, 16)
151_R - Match found between block (0, 0) and block (0, 17)
151_R - Match found between block (0, 0) and block (0, 18)
151_R - Match found between block (0, 0) and block (0, 19)
151_R - Match found between block (0, 0) and block (0, 20)
151_R - Match found between block (0, 0) and block (0, 21)
151_R - Match found between block (0, 0) and block (0, 22)
151_R - Match found between block (0, 0) and block (0, 23)
151_R - Match found between block (0, 0) and block (0, 24)
151_R - Match found between block (0, 0) and block (0, 25)
151_R - Match found between block (0, 0) and block (0, 26)
151_R - Match found between block (0, 0) and block (0, 27)
151_R - Match found between block (0, 0) and block (0, 28)
151_R - Match found between block (0, 0) and block (0, 29)
151_R - Match found between block (0, 0) and block (0, 30)
151_R - Match found between block (0, 0) and block (0, 31)
151_R - Match found between block (0, 0) and block (1, 0)
151_R - Match found between block (0, 0) and block (1, 1)
151_R - Match found between block (0, 0) and block (1, 2)
151_R - Match found between block (0, 0) and block (1, 3)
151_R - Match found between block (0, 0) and block (1, 4)
151_R - Match found between block (0, 0) and block (1, 5)
151_R - Match found between block (0, 0) and block (1, 6)
151_R - Match found between block (0, 0) and block (1, 7)
151_R - Match found between block (0, 0) and block (1, 8)
151_R - Match found between block (0, 0) and block (1, 9)
151_R - Match found between block (0, 0) and block (1, 10)
151_R - Match found between block (0, 0) and block (1, 11)
151_R - Match found between block (0, 0) and block (1, 12)
151_R - Match found between block (0, 0) and block (1, 13)
151_R - Match found between block (0, 0) and block (1, 14)
151_R - Match found between block (0, 0) and block (1, 15)
151_R - Match found between block (0, 0) and block (1, 16)
151_R - Match found between block (0, 0) and block (1, 17)
151_R - Match found between block (0, 0) and block (1, 18)
151_R - Match found between block (0, 0) and block (1, 19)
151_R - Match found between block (0, 0) and block (1, 20)
151_R - Match found between block (0, 0) and block (1, 21)
151_R - Match found between block (0, 0) and block (1, 22)
151_R - Match found between block (0, 0) and block (1, 23)
151_R - Match found between block (0, 0) and block (1, 24)
151_R - Match found between block (0, 0) and block (1, 25)
151_R - Match found between block (0, 0) and block (1, 26)
151_R - Match found between block (0, 0) and block (1, 27)
151_R - Match found between block (0, 0) and block (1, 28)
151_R - Match found between block (0, 0) and block (1, 29)
151_R - Match found between block (0, 0) and block (1, 30)
151_R - Match found between block (0, 0) and block (1, 31)
151_R - Match found between block (0, 0) and block (2, 0)
151_R - Match found between block (0, 0) and block (2, 1)
151_R - Match found between block (0, 0) and block (2, 2)
151_R - Match found between block (0, 0) and block (2, 3)
151_R - Match found between block (0, 0) and block (2, 4)
151_R - Match found between block (0, 0) and block (2, 5)
151_R - Match found between block (0, 0) and block (2, 6)
151_R - Match found between block (0, 0) and block (2, 7)
151_R - Match found between block (0, 0) and block (2, 8)
151_R - Match found between block (0, 0) and block (2, 9)
151_R - Match found between block (0, 0) and block (2, 10)
151_R - Match found between block (0, 0) and block (2, 11)
151_R - Match found between block (0, 0) and block (2, 12)
151_R - Match found between block (0, 0) and block (2, 13)
151_R - Match found between block (0, 0) and block (2, 14)
151_R - Match found between block (0, 0) and block (2, 15)
151_R - Match found between block (0, 0) and block (2, 16)
151_R - Match found between block (0, 0) and block (2, 17)
151_R - Match found between block (0, 0) and block (2, 18)
151_R - Match found between block (0, 0) and block (2, 19)
151_R - Match found between block (0, 0) and block (2, 20)
151_R - Match found between block (0, 0) and block (2, 21)
151_R - Match found between block (0, 0) and block (2, 22)
151_R - Match found between block (0, 0) and block (2, 23)
151_R - Match found between block (0, 0) and block (2, 24)
151_R - Match found between block (0, 0) and block (2, 25)
151_R - Match found between block (0, 0) and block (2, 26)
151_R - Match found between block (0, 0) and block (2, 27)
151_R - Match found between block (0, 0) and block (2, 28)
151_R - Match found between block (0, 0) and block (2, 29)
151_R - Match found between block (0, 0) and block (2, 30)
151_R - Match found between block (0, 0) and block (2, 31)
151_R - Match found between block (0, 0) and block (3, 0)
151_R - Match found between block (0, 0) and block (3, 1)
151_R - Match found between block (0, 0) and block (3, 2)
151_R - Match found between block (0, 0) and block (3, 3)
151_R - Match found between block (0, 0) and block (3, 4)
151_R - Match found between block (0, 0) and block (3, 5)
151_R - Match found between block (0, 0) and block (3, 6)
151_R - Match found between block (0, 0) and block (3, 7)
151_R - Match found between block (0, 0) and block (3, 8)
151_R - Match found between block (0, 0) and block (3, 9)
151_R - Match found between block (0, 0) and block (3, 10)
151_R - Match found between block (0, 0) and block (3, 11)
151_R - Match found between block (0, 0) and block (3, 12)
151_R - Match found between block (0, 0) and block (3, 13)
151_R - Match found between block (0, 0) and block (3, 14)
151_R - Match found between block (0, 0) and block (3, 15)
151_R - Match found between block (0, 0) and block (3, 16)
151_R - Match found between block (0, 0) and block (3, 17)
151_R - Match found between block (0, 0) and block (3, 18)
151_R - Match found between block (0, 0) and block (3, 19)
151_R - Match found between block (0, 0) and block (3, 20)
151_R - Match found between block (0, 0) and block (3, 21)
151_R - Match found between block (0, 0) and block (3, 22)
151_R - Match found between block (0, 0) and block (3, 23)
151_R - Match found between block (0, 0) and block (3, 24)
151_R - Match found between block (0, 0) and block (3, 25)
151_R - Match found between block (0, 0) and block (3, 26)
151_R - Match found between block (0, 0) and block (3, 27)
151_R - Match found between block (0, 0) and block (3, 28)
151_R - Match found between block (0, 0) and block (3, 29)
151_R - Match found between block (0, 0) and block (3, 30)
151_R - Match found between block (0, 0) and block (3, 31)
151_R - Match found between block (0, 0) and block (4, 0)
151_R - Match found between block (0, 0) and block (4, 1)
151_R - Match found between block (0, 0) and block (4, 2)
151_R - Match found between block (0, 0) and block (4, 3)
151_R - Match found between block (0, 0) and block (4, 4)
151_R - Match found between block (0, 0) and block (4, 5)
151_R - Match found between block (0, 0) and block (4, 6)
151_R - Match found between block (0, 0) and block (4, 7)
151_R - Match found between block (0, 0) and block (4, 8)
151_R - Match found between block (0, 0) and block (4, 9)
151_R - Match found between block (0, 0) and block (4, 10)
151_R - Match found between block (0, 0) and block (4, 11)
151_R - Match found between block (0, 0) and block (4, 12)
151_R - Match found between block (0, 0) and block (4, 13)
151_R - Match found between block (0, 0) and block (4, 14)
151_R - Match found between block (0, 0) and block (4, 15)
151_R - Match found between block (0, 0) and block (4, 16)
151_R - Match found between block (0, 0) and block (4, 17)
151_R - Match found between block (0, 0) and block (4, 18)
151_R - Match found between block (0, 0) and block (4, 19)
151_R - Match found between block (0, 0) and block (4, 20)
