Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
185_R - Match found between block (0, 0) and block (0, 1)
185_R - Match found between block (0, 0) and block (0, 2)
185_R - Match found between block (0, 0) and block (0, 3)
185_R - Match found between block (0, 0) and block (0, 4)
185_R - Match found between block (0, 0) and block (0, 5)
185_R - Match found between block (0, 0) and block (0, 6)
185_R - Match found between block (0, 0) and block (0, 7)
185_R - Match found between block (0, 0) and block (0, 8)
185_R - Match found between block (0, 0) and block (0, 9)
185_R - Match found between block (0, 0) and block (0, 10)
185_R - Match found between block (0, 0) and block (0, 11)
185_R - Match found between block (0, 0) and block (0, 12)
185_R - Match found between block (0, 0) and block (0, 13)
185_R - Match found between block (0, 0) and block (0, 14)
185_R - Match found between block (0, 0) and block (0, 15)
185_R - Match found between block (0, 0) and block (0, 16)
185_R - Match found between block (0, 0) and block (0, 17)
185_R - Match found between block (0, 0) and block (0, 18)
185_R - Match found between block (0, 0) and block (0, 19)
185_R - Match found between block (0, 0) and block (0, 20)
185_R - Match found between block (0, 0) and block (0, 21)
185_R - Match found between block (0, 0) and block (0, 22)
185_R - Match found between block (0, 0) and block (0, 23)
185_R - Match found between block (0, 0) and block (0, 24)
185_R - Match found between block (0, 0) and block (0, 25)
185_R - Match found between block (0, 0) and block (0, 26)
185_R - Match found between block (0, 0) and block (0, 27)
185_R - Match found between block (0, 0) and block (0, 28)
185_R - Match found between block (0, 0) and block (0, 29)
185_R - Match found between block (0, 0) and block (0, 30)
185_R - Match found between block (0, 0) and block (0, 31)
185_R - Match found between block (0, 0) and block (1, 0)
185_R - Match found between block (0, 0) and block (1, 1)
185_R - Match found between block (0, 0) and block (1, 2)
185_R - Match found between block (0, 0) and block (1, 3)
185_R - Match found between block (0, 0) and block (1, 4)
185_R - Match found between block (0, 0) and block (1, 5)
185_R - Match found between block (0, 0) and block (1, 6)
185_R - Match found between block (0, 0) and block (1, 7)
185_R - Match found between block (0, 0) and block (1, 8)
185_R - Match found between block (0, 0) and block (1, 9)
185_R - Match found between block (0, 0) and block (1, 10)
185_R - Match found between block (0, 0) and block (1, 11)
185_R - Match found between block (0, 0) and block (1, 12)
185_R - Match found between block (0, 0) and block (1, 13)
185_R - Match found between block (0, 0) and block (1, 14)
185_R - Match found between block (0, 0) and block (1, 15)
185_R - Match found between block (0, 0) and block (1, 16)
185_R - Match found between block (0, 0) and block (1, 17)
185_R - Match found between block (0, 0) and block (1, 18)
185_R - Match found between block (0, 0) and block (1, 19)
185_R - Match found between block (0, 0) and block (1, 20)
185_R - Match found between block (0, 0) and block (1, 21)
185_R - Match found between block (0, 0) and block (1, 22)
185_R - Match found between block (0, 0) and block (1, 23)
185_R - Match found between block (0, 0) and block (1, 24)
185_R - Match found between block (0, 0) and block (1, 25)
185_R - Match found between block (0, 0) and block (1, 26)
185_R - Match found between block (0, 0) and block (1, 27)
185_R - Match found between block (0, 0) and block (1, 28)
185_R - Match found between block (0, 0) and block (1, 29)
185_R - Match found between block (0, 0) and block (1, 30)
185_R - Match found between block (0, 0) and block (1, 31)
185_R - Match found between block (0, 0) and block (2, 0)
185_R - Match found between block (0, 0) and block (2, 1)
185_R - Match found between block (0, 0) and block (2, 2)
185_R - Match found between block (0, 0) and block (2, 3)
185_R - Match found between block (0, 0) and block (2, 4)
185_R - Match found between block (0, 0) and block (2, 5)
185_R - Match found between block (0, 0) and block (2, 6)
185_R - Match found between block (0, 0) and block (2, 7)
185_R - Match found between block (0, 0) and block (2, 8)
185_R - Match found between block (0, 0) and block (2, 9)
185_R - Match found between block (0, 0) and block (2, 10)
185_R - Match found between block (0, 0) and block (2, 11)
185_R - Match found between block (0, 0) and block (2, 12)
185_R - Match found between block (0, 0) and block (2, 13)
185_R - Match found between block (0, 0) and block (2, 14)
185_R - Match found between block (0, 0) and block (2, 15)
185_R - Match found between block (0, 0) and block (2, 16)
185_R - Match found between block (0, 0) and block (2, 17)
185_R - Match found between block (0, 0) and block (2, 18)
185_R - Match found between block (0, 0) and block (2, 19)
185_R - Match found between block (0, 0) and block (2, 20)
185_R - Match found between block (0, 0) and block (2, 21)
185_R - Match found between block (0, 0) and block (2, 22)
185_R - Match found between block (0, 0) and block (2, 23)
185_R - Match found between block (0, 0) and block (2, 24)
185_R - Match found between block (0, 0) and block (2, 25)
185_R - Match found between block (0, 0) and block (2, 26)
185_R - Match found between block (0, 0) and block (2, 27)
185_R - Match found between block (0, 0) and block (2, 28)
185_R - Match found between block (0, 0) and block (2, 29)
185_R - Match found between block (0, 0) and block (2, 30)
185_R - Match found between block (0, 0) and block (2, 31)
185_R - Match found between block (0, 0) and block (3, 0)
185_R - Match found between block (0, 0) and block (3, 1)
185_R - Match found between block (0, 0) and block (3, 2)
185_R - Match found between block (0, 0) and block (3, 3)
185_R - Match found between block (0, 0) and block (3, 4)
185_R - Match found between block (0, 0) and block (3, 5)
185_R - Match found between block (0, 0) and block (3, 6)
185_R - Match found between block (0, 0) and block (3, 7)
185_R - Match found between block (0, 0) and block (3, 8)
185_R - Match found between block (0, 0) and block (3, 9)
185_R - Match found between block (0, 0) and block (3, 10)
185_R - Match found between block (0, 0) and block (3, 11)
185_R - Match found between block (0, 0) and block (3, 12)
185_R - Match found between block (0, 0) and block (3, 13)
185_R - Match found between block (0, 0) and block (3, 14)
185_R - Match found between block (0, 0) and block (3, 15)
185_R - Match found between block (0, 0) and block (3, 16)
185_R - Match found between block (0, 0) and block (3, 17)
185_R - Match found between block (0, 0) and block (3, 18)
185_R - Match found between block (0, 0) and block (3, 19)
185_R - Match found between block (0, 0) and block (3, 20)
185_R - Match found between block (0, 0) and block (3, 21)
185_R - Match found between block (0, 0) and block (3, 22)
185_R - Match found between block (0, 0) and block (3, 23)
185_R - Match found between block (0, 0) and block (3, 24)
185_R - Match found between block (0, 0) and block (3, 25)
185_R - Match found between block (0, 0) and block (3, 26)
185_R - Match found between block (0, 0) and block (3, 27)
185_R - Match found between block (0, 0) and block (3, 28)
185_R - Match found between block (0, 0) and block (3, 29)
185_R - Match found between block (0, 0) and block (3, 30)
185_R - Match found between block (0, 0) and block (3, 31)
185_R - Match found between block (0, 0) and block (4, 0)
185_R - Match found between block (0, 0) and block (4, 1)
185_R - Match found between block (0, 0) and block (4, 2)
185_R - Match found between block (0, 0) and block (4, 3)
185_R - Match found between block (0, 0) and block (4, 4)
185_R - Match found between block (0, 0) and block (4, 5)
185_R - Match found between block (0, 0) and block (4, 6)
185_R - Match found between block (0, 0) and block (4, 7)
185_R - Match found between block (0, 0) and block (4, 8)
185_R - Match found between block (0, 0) and block (4, 9)
