Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
161_F - Match found between block (0, 0) and block (0, 1)
161_F - Match found between block (0, 0) and block (0, 10)
161_F - Match found between block (0, 0) and block (0, 20)
161_F - Match found between block (0, 0) and block (0, 23)
161_F - Match found between block (0, 0) and block (0, 30)
161_F - Match found between block (0, 0) and block (1, 12)
161_F - Match found between block (0, 0) and block (1, 15)
161_F - Match found between block (0, 0) and block (1, 16)
161_F - Match found between block (0, 0) and block (1, 19)
161_F - Match found between block (0, 0) and block (1, 26)
161_F - Match found between block (0, 0) and block (1, 30)
161_F - Match found between block (0, 0) and block (2, 2)
161_F - Match found between block (0, 0) and block (2, 14)
161_F - Match found between block (0, 0) and block (2, 20)
161_F - Match found between block (0, 0) and block (2, 24)
161_F - Match found between block (0, 0) and block (3, 1)
161_F - Match found between block (0, 0) and block (3, 4)
161_F - Match found between block (0, 0) and block (3, 6)
161_F - Match found between block (0, 0) and block (3, 12)
161_F - Match found between block (0, 0) and block (3, 18)
161_F - Match found between block (0, 0) and block (3, 19)
161_F - Match found between block (0, 0) and block (3, 24)
161_F - Match found between block (0, 0) and block (3, 25)
161_F - Match found between block (0, 0) and block (4, 17)
161_F - Match found between block (0, 0) and block (4, 18)
161_F - Match found between block (0, 0) and block (4, 19)
161_F - Match found between block (0, 0) and block (4, 23)
161_F - Match found between block (0, 0) and block (4, 28)
161_F - Match found between block (0, 0) and block (4, 29)
161_F - Match found between block (0, 0) and block (4, 30)
161_F - Match found between block (0, 0) and block (5, 20)
161_F - Match found between block (0, 0) and block (5, 23)
161_F - Match found between block (0, 0) and block (5, 25)
161_F - Match found between block (0, 0) and block (5, 26)
161_F - Match found between block (0, 0) and block (5, 28)
161_F - Match found between block (0, 0) and block (5, 31)
161_F - Match found between block (0, 0) and block (6, 0)
161_F - Match found between block (0, 0) and block (6, 24)
161_F - Match found between block (0, 0) and block (6, 27)
161_F - Match found between block (0, 0) and block (6, 29)
161_F - Match found between block (0, 0) and block (7, 4)
161_F - Match found between block (0, 0) and block (7, 7)
161_F - Match found between block (0, 0) and block (7, 16)
161_F - Match found between block (0, 0) and block (7, 17)
161_F - Match found between block (0, 0) and block (7, 23)
161_F - Match found between block (0, 0) and block (7, 25)
161_F - Match found between block (0, 0) and block (7, 28)
161_F - Match found between block (0, 0) and block (7, 30)
161_F - Match found between block (0, 0) and block (8, 1)
161_F - Match found between block (0, 0) and block (8, 13)
161_F - Match found between block (0, 0) and block (8, 21)
161_F - Match found between block (0, 0) and block (8, 28)
161_F - Match found between block (0, 0) and block (9, 1)
161_F - Match found between block (0, 0) and block (9, 13)
161_F - Match found between block (0, 0) and block (9, 16)
161_F - Match found between block (0, 0) and block (9, 17)
161_F - Match found between block (0, 0) and block (9, 27)
161_F - Match found between block (0, 0) and block (10, 0)
161_F - Match found between block (0, 0) and block (10, 3)
161_F - Match found between block (0, 0) and block (10, 11)
161_F - Match found between block (0, 0) and block (10, 23)
161_F - Match found between block (0, 0) and block (11, 2)
161_F - Match found between block (0, 0) and block (11, 4)
161_F - Match found between block (0, 0) and block (11, 7)
161_F - Match found between block (0, 0) and block (11, 10)
161_F - Match found between block (0, 0) and block (11, 11)
161_F - Match found between block (0, 0) and block (11, 12)
161_F - Match found between block (0, 0) and block (11, 16)
161_F - Match found between block (0, 0) and block (11, 21)
161_F - Match found between block (0, 0) and block (11, 28)
