Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
169_F - Match found between block (0, 0) and block (0, 11)
169_F - Match found between block (0, 0) and block (1, 0)
169_F - Match found between block (0, 0) and block (2, 16)
169_F - Match found between block (0, 0) and block (2, 20)
169_F - Match found between block (0, 0) and block (3, 1)
169_F - Match found between block (0, 0) and block (4, 1)
169_F - Match found between block (0, 0) and block (4, 12)
169_F - Match found between block (0, 0) and block (4, 28)
169_F - Match found between block (0, 0) and block (6, 15)
169_F - Match found between block (0, 0) and block (6, 17)
169_F - Match found between block (0, 0) and block (6, 20)
169_F - Match found between block (0, 0) and block (6, 21)
169_F - Match found between block (0, 0) and block (6, 26)
169_F - Match found between block (0, 0) and block (7, 2)
169_F - Match found between block (0, 0) and block (7, 23)
169_F - Match found between block (0, 0) and block (8, 2)
169_F - Match found between block (0, 0) and block (8, 14)
169_F - Match found between block (0, 0) and block (8, 16)
169_F - Match found between block (0, 0) and block (8, 18)
169_F - Match found between block (0, 0) and block (8, 19)
169_F - Match found between block (0, 0) and block (9, 0)
169_F - Match found between block (0, 0) and block (9, 6)
169_F - Match found between block (0, 0) and block (9, 10)
169_F - Match found between block (0, 0) and block (9, 11)
169_F - Match found between block (0, 0) and block (9, 13)
169_F - Match found between block (0, 0) and block (9, 21)
169_F - Match found between block (0, 0) and block (10, 6)
169_F - Match found between block (0, 0) and block (10, 11)
169_F - Match found between block (0, 0) and block (10, 13)
169_F - Match found between block (0, 0) and block (10, 20)
169_F - Match found between block (0, 0) and block (10, 23)
169_F - Match found between block (0, 0) and block (11, 23)
169_F - Match found between block (0, 0) and block (13, 0)
169_F - Match found between block (0, 0) and block (13, 7)
169_F - Match found between block (0, 0) and block (14, 1)
169_F - Match found between block (0, 0) and block (16, 1)
169_F - Match found between block (0, 0) and block (16, 3)
169_F - Match found between block (0, 0) and block (16, 8)
169_F - Match found between block (0, 0) and block (17, 6)
169_F - Match found between block (0, 0) and block (17, 10)
169_F - Match found between block (0, 0) and block (18, 0)
169_F - Match found between block (0, 0) and block (18, 1)
169_F - Match found between block (0, 0) and block (18, 6)
169_F - Match found between block (0, 0) and block (18, 7)
169_F - Match found between block (0, 0) and block (18, 19)
169_F - Match found between block (0, 0) and block (19, 9)
169_F - Match found between block (0, 0) and block (20, 2)
169_F - Match found between block (0, 0) and block (20, 22)
169_F - Match found between block (0, 0) and block (20, 23)
169_F - Match found between block (0, 0) and block (21, 0)
169_F - Match found between block (0, 0) and block (21, 11)
169_F - Match found between block (0, 0) and block (22, 20)
169_F - Match found between block (0, 0) and block (23, 28)
169_F - Match found between block (0, 0) and block (24, 8)
169_F - Match found between block (0, 0) and block (24, 11)
169_F - Match found between block (0, 0) and block (24, 20)
169_F - Match found between block (0, 0) and block (24, 26)
169_F - Match found between block (0, 0) and block (24, 27)
169_F - Match found between block (0, 0) and block (24, 30)
169_F - Match found between block (0, 0) and block (25, 5)
169_F - Match found between block (0, 0) and block (25, 30)
169_F - Match found between block (0, 0) and block (25, 31)
169_F - Match found between block (0, 0) and block (26, 13)
169_F - Match found between block (0, 0) and block (26, 22)
169_F - Match found between block (0, 0) and block (26, 31)
169_F - Match found between block (0, 0) and block (27, 26)
169_F - Match found between block (0, 0) and block (29, 0)
169_F - Match found between block (0, 0) and block (29, 7)
169_F - Match found between block (0, 0) and block (29, 21)
169_F - Match found between block (0, 0) and block (30, 25)
169_F - Match found between block (0, 0) and block (30, 26)
169_F - Match found between block (0, 0) and block (31, 1)
169_F - Match found between block (0, 1) and block (0, 13)
169_F - Match found between block (0, 1) and block (0, 15)
169_F - Match found between block (0, 1) and block (1, 7)
169_F - Match found between block (0, 1) and block (1, 13)
169_F - Match found between block (0, 1) and block (1, 25)
169_F - Match found between block (0, 1) and block (1, 26)
169_F - Match found between block (0, 1) and block (1, 27)
169_F - Match found between block (0, 1) and block (1, 28)
