Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
119_R - Match found between block (0, 0) and block (0, 1)
119_R - Match found between block (0, 0) and block (0, 2)
119_R - Match found between block (0, 0) and block (0, 3)
119_R - Match found between block (0, 0) and block (0, 4)
119_R - Match found between block (0, 0) and block (0, 5)
119_R - Match found between block (0, 0) and block (0, 6)
119_R - Match found between block (0, 0) and block (0, 7)
119_R - Match found between block (0, 0) and block (0, 8)
119_R - Match found between block (0, 0) and block (0, 9)
119_R - Match found between block (0, 0) and block (0, 10)
119_R - Match found between block (0, 0) and block (0, 11)
119_R - Match found between block (0, 0) and block (0, 12)
119_R - Match found between block (0, 0) and block (0, 13)
119_R - Match found between block (0, 0) and block (0, 14)
119_R - Match found between block (0, 0) and block (0, 15)
119_R - Match found between block (0, 0) and block (0, 16)
119_R - Match found between block (0, 0) and block (0, 17)
119_R - Match found between block (0, 0) and block (0, 18)
119_R - Match found between block (0, 0) and block (0, 19)
119_R - Match found between block (0, 0) and block (0, 20)
119_R - Match found between block (0, 0) and block (0, 21)
119_R - Match found between block (0, 0) and block (0, 22)
119_R - Match found between block (0, 0) and block (0, 23)
119_R - Match found between block (0, 0) and block (0, 24)
119_R - Match found between block (0, 0) and block (0, 25)
119_R - Match found between block (0, 0) and block (0, 26)
119_R - Match found between block (0, 0) and block (0, 27)
119_R - Match found between block (0, 0) and block (0, 28)
119_R - Match found between block (0, 0) and block (0, 29)
119_R - Match found between block (0, 0) and block (0, 30)
119_R - Match found between block (0, 0) and block (0, 31)
119_R - Match found between block (0, 0) and block (1, 0)
119_R - Match found between block (0, 0) and block (1, 1)
119_R - Match found between block (0, 0) and block (1, 2)
119_R - Match found between block (0, 0) and block (1, 3)
119_R - Match found between block (0, 0) and block (1, 4)
119_R - Match found between block (0, 0) and block (1, 5)
119_R - Match found between block (0, 0) and block (1, 6)
119_R - Match found between block (0, 0) and block (1, 7)
119_R - Match found between block (0, 0) and block (1, 8)
119_R - Match found between block (0, 0) and block (1, 9)
119_R - Match found between block (0, 0) and block (1, 10)
119_R - Match found between block (0, 0) and block (1, 11)
119_R - Match found between block (0, 0) and block (1, 12)
119_R - Match found between block (0, 0) and block (1, 13)
119_R - Match found between block (0, 0) and block (1, 14)
119_R - Match found between block (0, 0) and block (1, 15)
119_R - Match found between block (0, 0) and block (1, 16)
119_R - Match found between block (0, 0) and block (1, 17)
119_R - Match found between block (0, 0) and block (1, 18)
119_R - Match found between block (0, 0) and block (1, 19)
119_R - Match found between block (0, 0) and block (1, 20)
119_R - Match found between block (0, 0) and block (1, 21)
119_R - Match found between block (0, 0) and block (1, 22)
119_R - Match found between block (0, 0) and block (1, 23)
119_R - Match found between block (0, 0) and block (1, 24)
119_R - Match found between block (0, 0) and block (1, 25)
119_R - Match found between block (0, 0) and block (1, 26)
119_R - Match found between block (0, 0) and block (1, 27)
119_R - Match found between block (0, 0) and block (1, 28)
119_R - Match found between block (0, 0) and block (1, 29)
119_R - Match found between block (0, 0) and block (1, 30)
119_R - Match found between block (0, 0) and block (1, 31)
119_R - Match found between block (0, 0) and block (2, 0)
119_R - Match found between block (0, 0) and block (2, 1)
119_R - Match found between block (0, 0) and block (2, 2)
119_R - Match found between block (0, 0) and block (2, 3)
119_R - Match found between block (0, 0) and block (2, 4)
119_R - Match found between block (0, 0) and block (2, 5)
119_R - Match found between block (0, 0) and block (2, 6)
119_R - Match found between block (0, 0) and block (2, 7)
119_R - Match found between block (0, 0) and block (2, 8)
119_R - Match found between block (0, 0) and block (2, 9)
119_R - Match found between block (0, 0) and block (2, 10)
119_R - Match found between block (0, 0) and block (2, 11)
119_R - Match found between block (0, 0) and block (2, 12)
119_R - Match found between block (0, 0) and block (2, 13)
119_R - Match found between block (0, 0) and block (2, 14)
119_R - Match found between block (0, 0) and block (2, 15)
119_R - Match found between block (0, 0) and block (2, 16)
119_R - Match found between block (0, 0) and block (2, 17)
119_R - Match found between block (0, 0) and block (2, 18)
119_R - Match found between block (0, 0) and block (2, 19)
119_R - Match found between block (0, 0) and block (2, 20)
119_R - Match found between block (0, 0) and block (2, 21)
119_R - Match found between block (0, 0) and block (2, 22)
119_R - Match found between block (0, 0) and block (2, 23)
119_R - Match found between block (0, 0) and block (2, 24)
119_R - Match found between block (0, 0) and block (2, 25)
119_R - Match found between block (0, 0) and block (2, 26)
119_R - Match found between block (0, 0) and block (2, 27)
119_R - Match found between block (0, 0) and block (2, 28)
119_R - Match found between block (0, 0) and block (2, 29)
119_R - Match found between block (0, 0) and block (2, 30)
119_R - Match found between block (0, 0) and block (2, 31)
119_R - Match found between block (0, 0) and block (3, 0)
119_R - Match found between block (0, 0) and block (3, 1)
119_R - Match found between block (0, 0) and block (3, 2)
119_R - Match found between block (0, 0) and block (3, 3)
119_R - Match found between block (0, 0) and block (3, 4)
119_R - Match found between block (0, 0) and block (3, 5)
119_R - Match found between block (0, 0) and block (3, 6)
119_R - Match found between block (0, 0) and block (3, 7)
119_R - Match found between block (0, 0) and block (3, 8)
119_R - Match found between block (0, 0) and block (3, 9)
119_R - Match found between block (0, 0) and block (3, 10)
119_R - Match found between block (0, 0) and block (3, 11)
119_R - Match found between block (0, 0) and block (3, 12)
119_R - Match found between block (0, 0) and block (3, 13)
119_R - Match found between block (0, 0) and block (3, 14)
119_R - Match found between block (0, 0) and block (3, 15)
119_R - Match found between block (0, 0) and block (3, 16)
119_R - Match found between block (0, 0) and block (3, 17)
119_R - Match found between block (0, 0) and block (3, 18)
119_R - Match found between block (0, 0) and block (3, 19)
119_R - Match found between block (0, 0) and block (3, 20)
119_R - Match found between block (0, 0) and block (3, 21)
119_R - Match found between block (0, 0) and block (3, 22)
119_R - Match found between block (0, 0) and block (3, 23)
119_R - Match found between block (0, 0) and block (3, 24)
119_R - Match found between block (0, 0) and block (3, 25)
119_R - Match found between block (0, 0) and block (3, 26)
119_R - Match found between block (0, 0) and block (3, 27)
119_R - Match found between block (0, 0) and block (3, 28)
119_R - Match found between block (0, 0) and block (3, 29)
119_R - Match found between block (0, 0) and block (3, 30)
119_R - Match found between block (0, 0) and block (3, 31)
119_R - Match found between block (0, 0) and block (4, 0)
119_R - Match found between block (0, 0) and block (4, 1)
119_R - Match found between block (0, 0) and block (4, 2)
119_R - Match found between block (0, 0) and block (4, 3)
119_R - Match found between block (0, 0) and block (4, 4)
119_R - Match found between block (0, 0) and block (4, 5)
119_R - Match found between block (0, 0) and block (4, 6)
119_R - Match found between block (0, 0) and block (4, 7)
119_R - Match found between block (0, 0) and block (4, 8)
119_R - Match found between block (0, 0) and block (4, 9)
119_R - Match found between block (0, 0) and block (4, 10)
119_R - Match found between block (0, 0) and block (4, 11)
119_R - Match found between block (0, 0) and block (4, 12)
119_R - Match found between block (0, 0) and block (4, 13)
119_R - Match found between block (0, 0) and block (4, 14)
119_R - Match found between block (0, 0) and block (4, 15)
119_R - Match found between block (0, 0) and block (4, 16)
119_R - Match found between block (0, 0) and block (4, 17)
119_R - Match found between block (0, 0) and block (4, 18)
119_R - Match found between block (0, 0) and block (4, 19)
119_R - Match found between block (0, 0) and block (4, 20)
119_R - Match found between block (0, 0) and block (4, 21)
119_R - Match found between block (0, 0) and block (4, 22)
119_R - Match found between block (0, 0) and block (4, 23)
119_R - Match found between block (0, 0) and block (4, 24)
119_R - Match found between block (0, 0) and block (4, 25)
119_R - Match found between block (0, 0) and block (4, 26)
119_R - Match found between block (0, 0) and block (4, 27)
119_R - Match found between block (0, 0) and block (4, 28)
119_R - Match found between block (0, 0) and block (4, 29)
119_R - Match found between block (0, 0) and block (4, 30)
119_R - Match found between block (0, 0) and block (4, 31)
119_R - Match found between block (0, 0) and block (5, 0)
119_R - Match found between block (0, 0) and block (5, 1)
119_R - Match found between block (0, 0) and block (5, 2)
119_R - Match found between block (0, 0) and block (5, 3)
119_R - Match found between block (0, 0) and block (5, 4)
119_R - Match found between block (0, 0) and block (5, 5)
119_R - Match found between block (0, 0) and block (5, 6)
119_R - Match found between block (0, 0) and block (5, 7)
119_R - Match found between block (0, 0) and block (5, 8)
119_R - Match found between block (0, 0) and block (5, 9)
119_R - Match found between block (0, 0) and block (5, 10)
119_R - Match found between block (0, 0) and block (5, 11)
119_R - Match found between block (0, 0) and block (5, 12)
119_R - Match found between block (0, 0) and block (5, 13)
119_R - Match found between block (0, 0) and block (5, 14)
119_R - Match found between block (0, 0) and block (5, 15)
119_R - Match found between block (0, 0) and block (5, 16)
119_R - Match found between block (0, 0) and block (5, 17)
119_R - Match found between block (0, 0) and block (5, 18)
119_R - Match found between block (0, 0) and block (5, 19)
119_R - Match found between block (0, 0) and block (5, 20)
119_R - Match found between block (0, 0) and block (5, 21)
119_R - Match found between block (0, 0) and block (5, 22)
119_R - Match found between block (0, 0) and block (5, 23)
119_R - Match found between block (0, 0) and block (5, 24)
119_R - Match found between block (0, 0) and block (5, 25)
119_R - Match found between block (0, 0) and block (5, 26)
119_R - Match found between block (0, 0) and block (5, 27)
119_R - Match found between block (0, 0) and block (5, 28)
119_R - Match found between block (0, 0) and block (5, 29)
119_R - Match found between block (0, 0) and block (5, 30)
119_R - Match found between block (0, 0) and block (5, 31)
119_R - Match found between block (0, 0) and block (6, 0)
119_R - Match found between block (0, 0) and block (6, 1)
119_R - Match found between block (0, 0) and block (6, 2)
119_R - Match found between block (0, 0) and block (6, 3)
119_R - Match found between block (0, 0) and block (6, 4)
119_R - Match found between block (0, 0) and block (6, 5)
119_R - Match found between block (0, 0) and block (6, 6)
119_R - Match found between block (0, 0) and block (6, 7)
119_R - Match found between block (0, 0) and block (6, 8)
119_R - Match found between block (0, 0) and block (6, 9)
119_R - Match found between block (0, 0) and block (6, 10)
119_R - Match found between block (0, 0) and block (6, 11)
119_R - Match found between block (0, 0) and block (6, 12)
119_R - Match found between block (0, 0) and block (6, 13)
119_R - Match found between block (0, 0) and block (6, 14)
119_R - Match found between block (0, 0) and block (6, 15)
119_R - Match found between block (0, 0) and block (6, 16)
119_R - Match found between block (0, 0) and block (6, 17)
119_R - Match found between block (0, 0) and block (6, 18)
119_R - Match found between block (0, 0) and block (6, 19)
119_R - Match found between block (0, 0) and block (6, 20)
119_R - Match found between block (0, 0) and block (6, 21)
119_R - Match found between block (0, 0) and block (6, 22)
119_R - Match found between block (0, 0) and block (6, 23)
119_R - Match found between block (0, 0) and block (6, 24)
119_R - Match found between block (0, 0) and block (6, 25)
119_R - Match found between block (0, 0) and block (6, 26)
119_R - Match found between block (0, 0) and block (6, 27)
119_R - Match found between block (0, 0) and block (6, 28)
119_R - Match found between block (0, 0) and block (6, 29)
119_R - Match found between block (0, 0) and block (6, 30)
119_R - Match found between block (0, 0) and block (6, 31)
119_R - Match found between block (0, 0) and block (7, 0)
119_R - Match found between block (0, 0) and block (7, 1)
119_R - Match found between block (0, 0) and block (7, 2)
119_R - Match found between block (0, 0) and block (7, 3)
119_R - Match found between block (0, 0) and block (7, 4)
119_R - Match found between block (0, 0) and block (7, 5)
119_R - Match found between block (0, 0) and block (7, 6)
119_R - Match found between block (0, 0) and block (7, 7)
119_R - Match found between block (0, 0) and block (7, 8)
119_R - Match found between block (0, 0) and block (7, 9)
119_R - Match found between block (0, 0) and block (7, 10)
119_R - Match found between block (0, 0) and block (7, 11)
119_R - Match found between block (0, 0) and block (7, 12)
119_R - Match found between block (0, 0) and block (7, 13)
119_R - Match found between block (0, 0) and block (7, 14)
119_R - Match found between block (0, 0) and block (7, 15)
119_R - Match found between block (0, 0) and block (7, 16)
119_R - Match found between block (0, 0) and block (7, 17)
119_R - Match found between block (0, 0) and block (7, 18)
119_R - Match found between block (0, 0) and block (7, 19)
119_R - Match found between block (0, 0) and block (7, 20)
119_R - Match found between block (0, 0) and block (7, 21)
119_R - Match found between block (0, 0) and block (7, 22)
119_R - Match found between block (0, 0) and block (7, 23)
119_R - Match found between block (0, 0) and block (7, 24)
119_R - Match found between block (0, 0) and block (7, 25)
119_R - Match found between block (0, 0) and block (7, 26)
119_R - Match found between block (0, 0) and block (7, 27)
119_R - Match found between block (0, 0) and block (7, 28)
119_R - Match found between block (0, 0) and block (7, 29)
119_R - Match found between block (0, 0) and block (7, 30)
119_R - Match found between block (0, 0) and block (7, 31)
119_R - Match found between block (0, 0) and block (8, 0)
119_R - Match found between block (0, 0) and block (8, 1)
119_R - Match found between block (0, 0) and block (8, 2)
119_R - Match found between block (0, 0) and block (8, 3)
119_R - Match found between block (0, 0) and block (8, 4)
119_R - Match found between block (0, 0) and block (8, 5)
119_R - Match found between block (0, 0) and block (8, 6)
119_R - Match found between block (0, 0) and block (8, 7)
119_R - Match found between block (0, 0) and block (8, 8)
119_R - Match found between block (0, 0) and block (8, 9)
119_R - Match found between block (0, 0) and block (8, 10)
119_R - Match found between block (0, 0) and block (8, 11)
119_R - Match found between block (0, 0) and block (8, 12)
119_R - Match found between block (0, 0) and block (8, 13)
119_R - Match found between block (0, 0) and block (8, 14)
119_R - Match found between block (0, 0) and block (8, 15)
119_R - Match found between block (0, 0) and block (8, 16)
119_R - Match found between block (0, 0) and block (8, 17)
119_R - Match found between block (0, 0) and block (8, 18)
119_R - Match found between block (0, 0) and block (8, 19)
119_R - Match found between block (0, 0) and block (8, 20)
119_R - Match found between block (0, 0) and block (8, 21)
119_R - Match found between block (0, 0) and block (8, 22)
119_R - Match found between block (0, 0) and block (8, 23)
119_R - Match found between block (0, 0) and block (8, 24)
119_R - Match found between block (0, 0) and block (8, 25)
119_R - Match found between block (0, 0) and block (8, 26)
119_R - Match found between block (0, 0) and block (8, 27)
119_R - Match found between block (0, 0) and block (8, 28)
119_R - Match found between block (0, 0) and block (8, 29)
119_R - Match found between block (0, 0) and block (8, 30)
119_R - Match found between block (0, 0) and block (8, 31)
