Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
064_R - Match found between block (0, 0) and block (0, 1)
064_R - Match found between block (0, 0) and block (0, 2)
064_R - Match found between block (0, 0) and block (0, 3)
064_R - Match found between block (0, 0) and block (0, 4)
064_R - Match found between block (0, 0) and block (0, 5)
064_R - Match found between block (0, 0) and block (0, 6)
064_R - Match found between block (0, 0) and block (0, 7)
064_R - Match found between block (0, 0) and block (0, 8)
064_R - Match found between block (0, 0) and block (0, 9)
064_R - Match found between block (0, 0) and block (0, 10)
064_R - Match found between block (0, 0) and block (0, 11)
064_R - Match found between block (0, 0) and block (0, 12)
064_R - Match found between block (0, 0) and block (0, 13)
064_R - Match found between block (0, 0) and block (0, 14)
064_R - Match found between block (0, 0) and block (0, 15)
064_R - Match found between block (0, 0) and block (0, 16)
064_R - Match found between block (0, 0) and block (0, 17)
064_R - Match found between block (0, 0) and block (0, 18)
064_R - Match found between block (0, 0) and block (0, 19)
064_R - Match found between block (0, 0) and block (0, 20)
064_R - Match found between block (0, 0) and block (0, 21)
064_R - Match found between block (0, 0) and block (0, 22)
064_R - Match found between block (0, 0) and block (0, 23)
064_R - Match found between block (0, 0) and block (0, 24)
064_R - Match found between block (0, 0) and block (0, 25)
064_R - Match found between block (0, 0) and block (0, 26)
064_R - Match found between block (0, 0) and block (0, 27)
064_R - Match found between block (0, 0) and block (0, 28)
064_R - Match found between block (0, 0) and block (0, 29)
064_R - Match found between block (0, 0) and block (0, 30)
064_R - Match found between block (0, 0) and block (0, 31)
064_R - Match found between block (0, 0) and block (1, 0)
064_R - Match found between block (0, 0) and block (1, 1)
064_R - Match found between block (0, 0) and block (1, 2)
064_R - Match found between block (0, 0) and block (1, 3)
064_R - Match found between block (0, 0) and block (1, 4)
064_R - Match found between block (0, 0) and block (1, 5)
064_R - Match found between block (0, 0) and block (1, 6)
064_R - Match found between block (0, 0) and block (1, 7)
064_R - Match found between block (0, 0) and block (1, 8)
064_R - Match found between block (0, 0) and block (1, 9)
064_R - Match found between block (0, 0) and block (1, 10)
064_R - Match found between block (0, 0) and block (1, 11)
064_R - Match found between block (0, 0) and block (1, 12)
064_R - Match found between block (0, 0) and block (1, 13)
064_R - Match found between block (0, 0) and block (1, 14)
064_R - Match found between block (0, 0) and block (1, 15)
064_R - Match found between block (0, 0) and block (1, 16)
064_R - Match found between block (0, 0) and block (1, 17)
064_R - Match found between block (0, 0) and block (1, 18)
064_R - Match found between block (0, 0) and block (1, 19)
064_R - Match found between block (0, 0) and block (1, 20)
064_R - Match found between block (0, 0) and block (1, 21)
064_R - Match found between block (0, 0) and block (1, 22)
064_R - Match found between block (0, 0) and block (1, 23)
064_R - Match found between block (0, 0) and block (1, 24)
064_R - Match found between block (0, 0) and block (1, 25)
064_R - Match found between block (0, 0) and block (1, 26)
064_R - Match found between block (0, 0) and block (1, 27)
064_R - Match found between block (0, 0) and block (1, 28)
064_R - Match found between block (0, 0) and block (1, 29)
064_R - Match found between block (0, 0) and block (1, 30)
064_R - Match found between block (0, 0) and block (1, 31)
064_R - Match found between block (0, 0) and block (2, 0)
064_R - Match found between block (0, 0) and block (2, 1)
064_R - Match found between block (0, 0) and block (2, 2)
064_R - Match found between block (0, 0) and block (2, 3)
064_R - Match found between block (0, 0) and block (2, 4)
064_R - Match found between block (0, 0) and block (2, 5)
064_R - Match found between block (0, 0) and block (2, 6)
064_R - Match found between block (0, 0) and block (2, 7)
064_R - Match found between block (0, 0) and block (2, 8)
064_R - Match found between block (0, 0) and block (2, 9)
064_R - Match found between block (0, 0) and block (2, 10)
064_R - Match found between block (0, 0) and block (2, 11)
064_R - Match found between block (0, 0) and block (2, 12)
064_R - Match found between block (0, 0) and block (2, 13)
064_R - Match found between block (0, 0) and block (2, 14)
064_R - Match found between block (0, 0) and block (2, 15)
064_R - Match found between block (0, 0) and block (2, 16)
064_R - Match found between block (0, 0) and block (2, 17)
064_R - Match found between block (0, 0) and block (2, 18)
064_R - Match found between block (0, 0) and block (2, 19)
064_R - Match found between block (0, 0) and block (2, 20)
064_R - Match found between block (0, 0) and block (2, 21)
064_R - Match found between block (0, 0) and block (2, 22)
064_R - Match found between block (0, 0) and block (2, 23)
064_R - Match found between block (0, 0) and block (2, 24)
064_R - Match found between block (0, 0) and block (2, 25)
064_R - Match found between block (0, 0) and block (2, 26)
064_R - Match found between block (0, 0) and block (2, 27)
064_R - Match found between block (0, 0) and block (2, 28)
064_R - Match found between block (0, 0) and block (2, 29)
064_R - Match found between block (0, 0) and block (2, 30)
064_R - Match found between block (0, 0) and block (2, 31)
064_R - Match found between block (0, 0) and block (3, 0)
064_R - Match found between block (0, 0) and block (3, 1)
064_R - Match found between block (0, 0) and block (3, 2)
064_R - Match found between block (0, 0) and block (3, 3)
064_R - Match found between block (0, 0) and block (3, 4)
064_R - Match found between block (0, 0) and block (3, 5)
064_R - Match found between block (0, 0) and block (3, 6)
064_R - Match found between block (0, 0) and block (3, 7)
064_R - Match found between block (0, 0) and block (3, 8)
064_R - Match found between block (0, 0) and block (3, 9)
064_R - Match found between block (0, 0) and block (3, 10)
064_R - Match found between block (0, 0) and block (3, 11)
064_R - Match found between block (0, 0) and block (3, 12)
064_R - Match found between block (0, 0) and block (3, 13)
064_R - Match found between block (0, 0) and block (3, 14)
064_R - Match found between block (0, 0) and block (3, 15)
064_R - Match found between block (0, 0) and block (3, 16)
064_R - Match found between block (0, 0) and block (3, 17)
064_R - Match found between block (0, 0) and block (3, 18)
064_R - Match found between block (0, 0) and block (3, 19)
064_R - Match found between block (0, 0) and block (3, 20)
064_R - Match found between block (0, 0) and block (3, 21)
064_R - Match found between block (0, 0) and block (3, 22)
