Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
008_F - Match found between block (0, 0) and block (0, 1)
008_F - Match found between block (0, 0) and block (0, 6)
008_F - Match found between block (0, 0) and block (0, 8)
008_F - Match found between block (0, 0) and block (0, 21)
008_F - Match found between block (0, 0) and block (1, 0)
008_F - Match found between block (0, 0) and block (1, 1)
008_F - Match found between block (0, 0) and block (1, 5)
008_F - Match found between block (0, 0) and block (1, 6)
008_F - Match found between block (0, 0) and block (1, 7)
008_F - Match found between block (0, 0) and block (1, 8)
008_F - Match found between block (0, 0) and block (2, 0)
008_F - Match found between block (0, 0) and block (2, 1)
008_F - Match found between block (0, 0) and block (2, 4)
008_F - Match found between block (0, 0) and block (2, 5)
008_F - Match found between block (0, 0) and block (2, 6)
008_F - Match found between block (0, 0) and block (3, 4)
008_F - Match found between block (0, 0) and block (6, 0)
008_F - Match found between block (0, 0) and block (6, 2)
008_F - Match found between block (0, 0) and block (9, 1)
008_F - Match found between block (0, 0) and block (9, 2)
008_F - Match found between block (0, 0) and block (9, 3)
008_F - Match found between block (0, 0) and block (10, 0)
008_F - Match found between block (0, 0) and block (10, 1)
008_F - Match found between block (0, 0) and block (10, 2)
008_F - Match found between block (0, 0) and block (10, 3)
008_F - Match found between block (0, 0) and block (19, 0)
008_F - Match found between block (0, 0) and block (19, 1)
008_F - Match found between block (0, 0) and block (19, 2)
008_F - Match found between block (0, 0) and block (19, 3)
008_F - Match found between block (0, 0) and block (20, 0)
008_F - Match found between block (0, 0) and block (20, 1)
008_F - Match found between block (0, 0) and block (20, 3)
008_F - Match found between block (0, 0) and block (20, 5)
008_F - Match found between block (0, 0) and block (21, 1)
008_F - Match found between block (0, 0) and block (22, 1)
008_F - Match found between block (0, 0) and block (25, 0)
008_F - Match found between block (0, 0) and block (26, 0)
008_F - Match found between block (0, 0) and block (27, 0)
008_F - Match found between block (0, 0) and block (27, 9)
008_F - Match found between block (0, 0) and block (27, 14)
008_F - Match found between block (0, 0) and block (27, 16)
008_F - Match found between block (0, 0) and block (28, 8)
008_F - Match found between block (0, 0) and block (28, 9)
008_F - Match found between block (0, 0) and block (28, 14)
008_F - Match found between block (0, 0) and block (28, 15)
008_F - Match found between block (0, 0) and block (28, 16)
008_F - Match found between block (0, 0) and block (29, 7)
008_F - Match found between block (0, 0) and block (29, 8)
008_F - Match found between block (0, 0) and block (29, 9)
008_F - Match found between block (0, 0) and block (29, 14)
008_F - Match found between block (0, 0) and block (29, 15)
008_F - Match found between block (0, 0) and block (29, 16)
008_F - Match found between block (0, 0) and block (29, 17)
008_F - Match found between block (0, 0) and block (29, 19)
008_F - Match found between block (0, 0) and block (30, 3)
008_F - Match found between block (0, 0) and block (30, 4)
008_F - Match found between block (0, 0) and block (30, 7)
008_F - Match found between block (0, 0) and block (30, 8)
008_F - Match found between block (0, 0) and block (30, 9)
008_F - Match found between block (0, 0) and block (30, 14)
008_F - Match found between block (0, 0) and block (30, 15)
008_F - Match found between block (0, 0) and block (30, 16)
008_F - Match found between block (0, 0) and block (30, 17)
008_F - Match found between block (0, 0) and block (30, 18)
008_F - Match found between block (0, 0) and block (30, 19)
008_F - Match found between block (0, 0) and block (31, 1)
008_F - Match found between block (0, 0) and block (31, 3)
008_F - Match found between block (0, 0) and block (31, 5)
008_F - Match found between block (0, 0) and block (31, 6)
008_F - Match found between block (0, 0) and block (31, 7)
008_F - Match found between block (0, 0) and block (31, 8)
008_F - Match found between block (0, 0) and block (31, 9)
008_F - Match found between block (0, 0) and block (31, 10)
008_F - Match found between block (0, 0) and block (31, 11)
008_F - Match found between block (0, 0) and block (31, 12)
008_F - Match found between block (0, 0) and block (31, 13)
008_F - Match found between block (0, 0) and block (31, 14)
008_F - Match found between block (0, 0) and block (31, 15)
008_F - Match found between block (0, 0) and block (31, 16)
008_F - Match found between block (0, 0) and block (31, 17)
008_F - Match found between block (0, 0) and block (31, 18)
008_F - Match found between block (0, 0) and block (31, 19)
008_F - Match found between block (0, 2) and block (0, 3)
008_F - Match found between block (0, 2) and block (0, 4)
008_F - Match found between block (0, 2) and block (0, 5)
008_F - Match found between block (0, 2) and block (1, 2)
008_F - Match found between block (0, 2) and block (1, 3)
008_F - Match found between block (0, 2) and block (1, 4)
008_F - Match found between block (0, 2) and block (2, 2)
008_F - Match found between block (0, 2) and block (2, 3)
008_F - Match found between block (0, 2) and block (4, 0)
008_F - Match found between block (0, 2) and block (4, 2)
008_F - Match found between block (0, 2) and block (5, 0)
008_F - Match found between block (0, 2) and block (5, 1)
008_F - Match found between block (0, 2) and block (5, 2)
008_F - Match found between block (0, 2) and block (5, 3)
008_F - Match found between block (0, 2) and block (6, 4)
008_F - Match found between block (0, 2) and block (7, 4)
008_F - Match found between block (0, 2) and block (8, 1)
008_F - Match found between block (0, 2) and block (8, 2)
008_F - Match found between block (0, 2) and block (8, 4)
008_F - Match found between block (0, 2) and block (9, 4)
008_F - Match found between block (0, 2) and block (10, 4)
008_F - Match found between block (0, 2) and block (11, 4)
008_F - Match found between block (0, 2) and block (12, 2)
008_F - Match found between block (0, 2) and block (12, 4)
008_F - Match found between block (0, 2) and block (13, 2)
008_F - Match found between block (0, 2) and block (13, 4)
008_F - Match found between block (0, 2) and block (14, 1)
008_F - Match found between block (0, 2) and block (14, 4)
