Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
067_F - Match found between block (0, 0) and block (0, 4)
067_F - Match found between block (0, 0) and block (2, 21)
067_F - Match found between block (0, 0) and block (3, 9)
067_F - Match found between block (0, 0) and block (4, 8)
067_F - Match found between block (0, 0) and block (5, 2)
067_F - Match found between block (0, 0) and block (5, 9)
067_F - Match found between block (0, 0) and block (6, 24)
067_F - Match found between block (0, 0) and block (6, 26)
067_F - Match found between block (0, 0) and block (7, 26)
067_F - Match found between block (0, 0) and block (8, 8)
067_F - Match found between block (0, 0) and block (10, 3)
067_F - Match found between block (0, 0) and block (11, 17)
067_F - Match found between block (0, 0) and block (11, 18)
067_F - Match found between block (0, 0) and block (12, 9)
067_F - Match found between block (0, 0) and block (12, 23)
067_F - Match found between block (0, 0) and block (13, 7)
067_F - Match found between block (0, 0) and block (13, 9)
067_F - Match found between block (0, 0) and block (13, 11)
067_F - Match found between block (0, 0) and block (14, 0)
067_F - Match found between block (0, 0) and block (14, 2)
067_F - Match found between block (0, 0) and block (14, 22)
067_F - Match found between block (0, 0) and block (15, 0)
067_F - Match found between block (0, 0) and block (15, 9)
067_F - Match found between block (0, 0) and block (15, 22)
067_F - Match found between block (0, 0) and block (15, 26)
067_F - Match found between block (0, 0) and block (16, 0)
067_F - Match found between block (0, 0) and block (17, 2)
067_F - Match found between block (0, 0) and block (17, 10)
067_F - Match found between block (0, 0) and block (17, 22)
067_F - Match found between block (0, 0) and block (18, 2)
067_F - Match found between block (0, 0) and block (18, 3)
067_F - Match found between block (0, 0) and block (18, 10)
067_F - Match found between block (0, 0) and block (18, 20)
067_F - Match found between block (0, 0) and block (18, 22)
067_F - Match found between block (0, 0) and block (20, 7)
067_F - Match found between block (0, 0) and block (21, 1)
067_F - Match found between block (0, 0) and block (21, 7)
067_F - Match found between block (0, 0) and block (21, 13)
067_F - Match found between block (0, 0) and block (22, 15)
067_F - Match found between block (0, 0) and block (23, 7)
067_F - Match found between block (0, 0) and block (23, 10)
067_F - Match found between block (0, 0) and block (24, 7)
067_F - Match found between block (0, 0) and block (24, 13)
067_F - Match found between block (0, 0) and block (24, 15)
067_F - Match found between block (0, 0) and block (24, 16)
067_F - Match found between block (0, 0) and block (25, 13)
067_F - Match found between block (0, 0) and block (25, 14)
067_F - Match found between block (0, 0) and block (26, 7)
067_F - Match found between block (0, 0) and block (27, 2)
067_F - Match found between block (0, 0) and block (27, 7)
067_F - Match found between block (0, 0) and block (28, 7)
067_F - Match found between block (0, 0) and block (29, 7)
067_F - Match found between block (0, 0) and block (30, 7)
067_F - Match found between block (0, 0) and block (31, 7)
067_F - Match found between block (0, 1) and block (0, 6)
067_F - Match found between block (0, 1) and block (0, 7)
067_F - Match found between block (0, 1) and block (1, 6)
067_F - Match found between block (0, 1) and block (1, 7)
067_F - Match found between block (0, 1) and block (2, 5)
067_F - Match found between block (0, 1) and block (2, 6)
067_F - Match found between block (0, 1) and block (2, 7)
067_F - Match found between block (0, 1) and block (3, 6)
067_F - Match found between block (0, 1) and block (4, 6)
067_F - Match found between block (0, 1) and block (5, 4)
067_F - Match found between block (0, 1) and block (5, 6)
067_F - Match found between block (0, 1) and block (5, 7)
067_F - Match found between block (0, 1) and block (6, 6)
067_F - Match found between block (0, 1) and block (6, 7)
067_F - Match found between block (0, 1) and block (7, 5)
067_F - Match found between block (0, 1) and block (7, 6)
067_F - Match found between block (0, 1) and block (7, 7)
067_F - Match found between block (0, 1) and block (8, 6)
067_F - Match found between block (0, 1) and block (9, 14)
067_F - Match found between block (0, 1) and block (9, 15)
067_F - Match found between block (0, 1) and block (10, 17)
067_F - Match found between block (0, 1) and block (12, 11)
067_F - Match found between block (0, 1) and block (12, 12)
067_F - Match found between block (0, 1) and block (12, 14)
067_F - Match found between block (0, 1) and block (12, 15)
067_F - Match found between block (0, 1) and block (13, 14)
067_F - Match found between block (0, 1) and block (15, 13)
067_F - Match found between block (0, 1) and block (15, 23)
067_F - Match found between block (0, 1) and block (16, 6)
067_F - Match found between block (0, 1) and block (16, 7)
067_F - Match found between block (0, 1) and block (17, 4)
067_F - Match found between block (0, 1) and block (17, 5)
067_F - Match found between block (0, 1) and block (17, 7)
067_F - Match found between block (0, 1) and block (18, 6)
067_F - Match found between block (0, 1) and block (18, 7)
067_F - Match found between block (0, 1) and block (18, 12)
067_F - Match found between block (0, 1) and block (18, 14)
067_F - Match found between block (0, 1) and block (19, 18)
067_F - Match found between block (0, 1) and block (19, 19)
067_F - Match found between block (0, 1) and block (19, 26)
067_F - Match found between block (0, 1) and block (20, 12)
067_F - Match found between block (0, 1) and block (20, 20)
067_F - Match found between block (0, 1) and block (20, 26)
067_F - Match found between block (0, 1) and block (21, 4)
067_F - Match found between block (0, 1) and block (22, 0)
067_F - Match found between block (0, 1) and block (22, 21)
067_F - Match found between block (0, 1) and block (22, 26)
067_F - Match found between block (0, 1) and block (24, 0)
067_F - Match found between block (0, 1) and block (25, 0)
067_F - Match found between block (0, 1) and block (25, 15)
067_F - Match found between block (0, 1) and block (25, 21)
067_F - Match found between block (0, 1) and block (26, 20)
067_F - Match found between block (0, 1) and block (27, 20)
067_F - Match found between block (0, 1) and block (28, 3)
067_F - Match found between block (0, 1) and block (28, 12)
067_F - Match found between block (0, 1) and block (28, 20)
067_F - Match found between block (0, 1) and block (29, 0)
067_F - Match found between block (0, 1) and block (29, 15)
067_F - Match found between block (0, 1) and block (29, 22)
067_F - Match found between block (0, 1) and block (30, 18)
067_F - Match found between block (0, 1) and block (30, 22)
067_F - Match found between block (0, 1) and block (31, 25)
067_F - Match found between block (0, 2) and block (0, 3)
067_F - Match found between block (0, 2) and block (0, 5)
067_F - Match found between block (0, 2) and block (0, 13)
067_F - Match found between block (0, 2) and block (0, 14)
067_F - Match found between block (0, 2) and block (2, 4)
067_F - Match found between block (0, 2) and block (3, 0)
067_F - Match found between block (0, 2) and block (3, 1)
067_F - Match found between block (0, 2) and block (3, 2)
067_F - Match found between block (0, 2) and block (3, 3)
067_F - Match found between block (0, 2) and block (4, 0)
067_F - Match found between block (0, 2) and block (4, 1)
067_F - Match found between block (0, 2) and block (4, 2)
067_F - Match found between block (0, 2) and block (4, 3)
067_F - Match found between block (0, 2) and block (4, 19)
067_F - Match found between block (0, 2) and block (4, 20)
067_F - Match found between block (0, 2) and block (4, 21)
067_F - Match found between block (0, 2) and block (5, 0)
067_F - Match found between block (0, 2) and block (5, 1)
067_F - Match found between block (0, 2) and block (5, 3)
067_F - Match found between block (0, 2) and block (5, 19)
067_F - Match found between block (0, 2) and block (5, 20)
067_F - Match found between block (0, 2) and block (5, 21)
067_F - Match found between block (0, 2) and block (6, 0)
067_F - Match found between block (0, 2) and block (6, 1)
067_F - Match found between block (0, 2) and block (6, 3)
067_F - Match found between block (0, 2) and block (7, 0)
067_F - Match found between block (0, 2) and block (7, 3)
067_F - Match found between block (0, 2) and block (7, 4)
067_F - Match found between block (0, 2) and block (8, 0)
067_F - Match found between block (0, 2) and block (8, 2)
067_F - Match found between block (0, 2) and block (10, 0)
067_F - Match found between block (0, 2) and block (11, 0)
067_F - Match found between block (0, 2) and block (12, 0)
067_F - Match found between block (0, 2) and block (12, 4)
067_F - Match found between block (0, 2) and block (13, 0)
067_F - Match found between block (0, 2) and block (20, 1)
067_F - Match found between block (0, 2) and block (20, 2)
067_F - Match found between block (0, 2) and block (20, 3)
067_F - Match found between block (0, 2) and block (21, 0)
067_F - Match found between block (0, 2) and block (23, 16)
067_F - Match found between block (0, 2) and block (23, 17)
067_F - Match found between block (0, 2) and block (25, 16)
067_F - Match found between block (0, 2) and block (26, 16)
067_F - Match found between block (0, 2) and block (27, 15)
067_F - Match found between block (0, 2) and block (29, 17)
067_F - Match found between block (0, 2) and block (31, 5)
067_F - Match found between block (0, 8) and block (0, 12)
067_F - Match found between block (0, 8) and block (0, 15)
067_F - Match found between block (0, 8) and block (0, 16)
067_F - Match found between block (0, 8) and block (0, 17)
067_F - Match found between block (0, 8) and block (0, 18)
067_F - Match found between block (0, 8) and block (0, 19)
067_F - Match found between block (0, 8) and block (0, 20)
067_F - Match found between block (0, 8) and block (0, 28)
067_F - Match found between block (0, 8) and block (1, 4)
067_F - Match found between block (0, 8) and block (1, 8)
067_F - Match found between block (0, 8) and block (1, 12)
067_F - Match found between block (0, 8) and block (1, 14)
067_F - Match found between block (0, 8) and block (1, 15)
067_F - Match found between block (0, 8) and block (1, 18)
067_F - Match found between block (0, 8) and block (1, 19)
067_F - Match found between block (0, 8) and block (1, 22)
067_F - Match found between block (0, 8) and block (1, 23)
067_F - Match found between block (0, 8) and block (1, 24)
067_F - Match found between block (0, 8) and block (1, 28)
067_F - Match found between block (0, 8) and block (2, 11)
067_F - Match found between block (0, 8) and block (2, 12)
