Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
028_R - Match found between block (0, 0) and block (0, 1)
028_R - Match found between block (0, 0) and block (0, 2)
028_R - Match found between block (0, 0) and block (0, 3)
028_R - Match found between block (0, 0) and block (0, 4)
028_R - Match found between block (0, 0) and block (0, 5)
028_R - Match found between block (0, 0) and block (0, 6)
028_R - Match found between block (0, 0) and block (0, 7)
028_R - Match found between block (0, 0) and block (0, 8)
028_R - Match found between block (0, 0) and block (0, 9)
028_R - Match found between block (0, 0) and block (0, 10)
028_R - Match found between block (0, 0) and block (0, 11)
028_R - Match found between block (0, 0) and block (0, 12)
028_R - Match found between block (0, 0) and block (0, 13)
028_R - Match found between block (0, 0) and block (0, 14)
028_R - Match found between block (0, 0) and block (0, 15)
028_R - Match found between block (0, 0) and block (0, 16)
028_R - Match found between block (0, 0) and block (0, 17)
028_R - Match found between block (0, 0) and block (0, 18)
028_R - Match found between block (0, 0) and block (0, 19)
028_R - Match found between block (0, 0) and block (0, 20)
028_R - Match found between block (0, 0) and block (0, 21)
028_R - Match found between block (0, 0) and block (0, 22)
028_R - Match found between block (0, 0) and block (0, 23)
028_R - Match found between block (0, 0) and block (0, 24)
028_R - Match found between block (0, 0) and block (0, 25)
028_R - Match found between block (0, 0) and block (0, 26)
028_R - Match found between block (0, 0) and block (0, 27)
028_R - Match found between block (0, 0) and block (0, 28)
028_R - Match found between block (0, 0) and block (0, 29)
028_R - Match found between block (0, 0) and block (0, 30)
028_R - Match found between block (0, 0) and block (0, 31)
028_R - Match found between block (0, 0) and block (1, 0)
028_R - Match found between block (0, 0) and block (1, 1)
028_R - Match found between block (0, 0) and block (1, 2)
028_R - Match found between block (0, 0) and block (1, 3)
028_R - Match found between block (0, 0) and block (1, 4)
028_R - Match found between block (0, 0) and block (1, 5)
028_R - Match found between block (0, 0) and block (1, 6)
028_R - Match found between block (0, 0) and block (1, 7)
028_R - Match found between block (0, 0) and block (1, 8)
028_R - Match found between block (0, 0) and block (1, 9)
028_R - Match found between block (0, 0) and block (1, 10)
028_R - Match found between block (0, 0) and block (1, 11)
028_R - Match found between block (0, 0) and block (1, 12)
028_R - Match found between block (0, 0) and block (1, 13)
028_R - Match found between block (0, 0) and block (1, 14)
028_R - Match found between block (0, 0) and block (1, 15)
028_R - Match found between block (0, 0) and block (1, 16)
028_R - Match found between block (0, 0) and block (1, 17)
028_R - Match found between block (0, 0) and block (1, 18)
028_R - Match found between block (0, 0) and block (1, 19)
028_R - Match found between block (0, 0) and block (1, 20)
028_R - Match found between block (0, 0) and block (1, 21)
028_R - Match found between block (0, 0) and block (1, 22)
028_R - Match found between block (0, 0) and block (1, 23)
028_R - Match found between block (0, 0) and block (1, 24)
028_R - Match found between block (0, 0) and block (1, 25)
028_R - Match found between block (0, 0) and block (1, 26)
028_R - Match found between block (0, 0) and block (1, 27)
028_R - Match found between block (0, 0) and block (1, 28)
028_R - Match found between block (0, 0) and block (1, 29)
028_R - Match found between block (0, 0) and block (1, 30)
028_R - Match found between block (0, 0) and block (1, 31)
028_R - Match found between block (0, 0) and block (2, 0)
028_R - Match found between block (0, 0) and block (2, 1)
028_R - Match found between block (0, 0) and block (2, 2)
028_R - Match found between block (0, 0) and block (2, 3)
028_R - Match found between block (0, 0) and block (2, 4)
028_R - Match found between block (0, 0) and block (2, 5)
028_R - Match found between block (0, 0) and block (2, 6)
028_R - Match found between block (0, 0) and block (2, 7)
028_R - Match found between block (0, 0) and block (2, 8)
028_R - Match found between block (0, 0) and block (2, 9)
028_R - Match found between block (0, 0) and block (2, 10)
028_R - Match found between block (0, 0) and block (2, 11)
028_R - Match found between block (0, 0) and block (2, 12)
028_R - Match found between block (0, 0) and block (2, 13)
028_R - Match found between block (0, 0) and block (2, 14)
028_R - Match found between block (0, 0) and block (2, 15)
028_R - Match found between block (0, 0) and block (2, 16)
028_R - Match found between block (0, 0) and block (2, 17)
028_R - Match found between block (0, 0) and block (2, 18)
028_R - Match found between block (0, 0) and block (2, 19)
028_R - Match found between block (0, 0) and block (2, 20)
028_R - Match found between block (0, 0) and block (2, 21)
028_R - Match found between block (0, 0) and block (2, 22)
028_R - Match found between block (0, 0) and block (2, 23)
