Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
074_F - Match found between block (0, 0) and block (0, 5)
074_F - Match found between block (0, 0) and block (0, 6)
074_F - Match found between block (0, 0) and block (0, 24)
074_F - Match found between block (0, 0) and block (0, 31)
074_F - Match found between block (0, 0) and block (1, 1)
074_F - Match found between block (0, 0) and block (1, 6)
074_F - Match found between block (0, 0) and block (1, 20)
074_F - Match found between block (0, 0) and block (1, 21)
074_F - Match found between block (0, 0) and block (1, 29)
074_F - Match found between block (0, 0) and block (2, 1)
074_F - Match found between block (0, 0) and block (2, 23)
074_F - Match found between block (0, 0) and block (2, 27)
074_F - Match found between block (0, 0) and block (3, 3)
074_F - Match found between block (0, 0) and block (3, 4)
074_F - Match found between block (0, 0) and block (3, 23)
074_F - Match found between block (0, 0) and block (3, 24)
074_F - Match found between block (0, 0) and block (4, 3)
074_F - Match found between block (0, 0) and block (4, 7)
074_F - Match found between block (0, 0) and block (4, 10)
074_F - Match found between block (0, 0) and block (5, 4)
074_F - Match found between block (0, 0) and block (6, 1)
074_F - Match found between block (0, 0) and block (6, 17)
074_F - Match found between block (0, 0) and block (6, 19)
074_F - Match found between block (0, 0) and block (6, 29)
074_F - Match found between block (0, 0) and block (6, 31)
074_F - Match found between block (0, 0) and block (7, 0)
074_F - Match found between block (0, 0) and block (7, 9)
074_F - Match found between block (0, 0) and block (7, 15)
074_F - Match found between block (0, 0) and block (7, 17)
074_F - Match found between block (0, 0) and block (7, 27)
074_F - Match found between block (0, 0) and block (7, 29)
074_F - Match found between block (0, 0) and block (8, 4)
074_F - Match found between block (0, 0) and block (8, 13)
074_F - Match found between block (0, 0) and block (8, 27)
074_F - Match found between block (0, 0) and block (9, 17)
074_F - Match found between block (0, 0) and block (9, 25)
074_F - Match found between block (0, 0) and block (9, 28)
074_F - Match found between block (0, 0) and block (10, 1)
074_F - Match found between block (0, 0) and block (10, 2)
074_F - Match found between block (0, 0) and block (10, 13)
074_F - Match found between block (0, 0) and block (10, 15)
074_F - Match found between block (0, 0) and block (10, 18)
074_F - Match found between block (0, 0) and block (10, 24)
074_F - Match found between block (0, 0) and block (10, 26)
074_F - Match found between block (0, 0) and block (10, 29)
074_F - Match found between block (0, 0) and block (10, 30)
074_F - Match found between block (0, 0) and block (11, 2)
074_F - Match found between block (0, 0) and block (11, 27)
074_F - Match found between block (0, 0) and block (12, 1)
074_F - Match found between block (0, 0) and block (12, 6)
074_F - Match found between block (0, 0) and block (12, 12)
074_F - Match found between block (0, 0) and block (12, 30)
074_F - Match found between block (0, 0) and block (13, 5)
074_F - Match found between block (0, 0) and block (13, 7)
074_F - Match found between block (0, 0) and block (13, 20)
074_F - Match found between block (0, 0) and block (14, 6)
074_F - Match found between block (0, 0) and block (14, 11)
074_F - Match found between block (0, 0) and block (14, 14)
074_F - Match found between block (0, 0) and block (14, 16)
074_F - Match found between block (0, 0) and block (15, 1)
074_F - Match found between block (0, 0) and block (15, 8)
074_F - Match found between block (0, 0) and block (15, 21)
074_F - Match found between block (0, 0) and block (16, 8)
074_F - Match found between block (0, 0) and block (16, 17)
074_F - Match found between block (0, 0) and block (16, 27)
074_F - Match found between block (0, 0) and block (16, 28)
074_F - Match found between block (0, 0) and block (17, 2)
074_F - Match found between block (0, 0) and block (17, 4)
074_F - Match found between block (0, 0) and block (18, 3)
074_F - Match found between block (0, 0) and block (18, 9)
074_F - Match found between block (0, 0) and block (18, 12)
074_F - Match found between block (0, 0) and block (18, 16)
074_F - Match found between block (0, 0) and block (18, 26)
074_F - Match found between block (0, 0) and block (19, 3)
074_F - Match found between block (0, 0) and block (19, 4)
074_F - Match found between block (0, 0) and block (19, 29)
074_F - Match found between block (0, 0) and block (20, 10)
074_F - Match found between block (0, 0) and block (20, 12)
074_F - Match found between block (0, 0) and block (20, 15)
074_F - Match found between block (0, 0) and block (20, 16)
074_F - Match found between block (0, 0) and block (20, 19)
074_F - Match found between block (0, 0) and block (20, 22)
074_F - Match found between block (0, 0) and block (20, 23)
074_F - Match found between block (0, 0) and block (21, 17)
074_F - Match found between block (0, 0) and block (21, 27)
074_F - Match found between block (0, 0) and block (22, 6)
074_F - Match found between block (0, 0) and block (22, 13)
074_F - Match found between block (0, 0) and block (22, 21)
074_F - Match found between block (0, 0) and block (22, 26)
074_F - Match found between block (0, 0) and block (22, 28)
074_F - Match found between block (0, 0) and block (22, 29)
074_F - Match found between block (0, 0) and block (22, 31)
074_F - Match found between block (0, 0) and block (23, 9)
074_F - Match found between block (0, 0) and block (23, 29)
074_F - Match found between block (0, 0) and block (24, 12)
074_F - Match found between block (0, 0) and block (24, 13)
074_F - Match found between block (0, 0) and block (24, 19)
074_F - Match found between block (0, 0) and block (24, 21)
074_F - Match found between block (0, 0) and block (24, 24)
074_F - Match found between block (0, 0) and block (24, 28)
074_F - Match found between block (0, 0) and block (24, 30)
074_F - Match found between block (0, 0) and block (25, 28)
074_F - Match found between block (0, 0) and block (26, 3)
074_F - Match found between block (0, 0) and block (26, 10)
074_F - Match found between block (0, 0) and block (26, 13)
074_F - Match found between block (0, 0) and block (26, 16)
074_F - Match found between block (0, 0) and block (26, 22)
074_F - Match found between block (0, 0) and block (27, 19)
074_F - Match found between block (0, 0) and block (27, 20)
074_F - Match found between block (0, 0) and block (27, 22)
074_F - Match found between block (0, 0) and block (27, 25)
074_F - Match found between block (0, 0) and block (28, 12)
074_F - Match found between block (0, 0) and block (28, 15)
074_F - Match found between block (0, 0) and block (28, 28)
074_F - Match found between block (0, 0) and block (29, 13)
074_F - Match found between block (0, 0) and block (29, 14)
074_F - Match found between block (0, 0) and block (30, 4)
074_F - Match found between block (0, 0) and block (30, 9)
074_F - Match found between block (0, 0) and block (30, 19)
