Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
001_F - Match found between block (0, 0) and block (0, 1)
001_F - Match found between block (0, 0) and block (0, 2)
001_F - Match found between block (0, 0) and block (0, 3)
001_F - Match found between block (0, 0) and block (0, 4)
001_F - Match found between block (0, 0) and block (0, 6)
001_F - Match found between block (0, 0) and block (1, 0)
001_F - Match found between block (0, 0) and block (1, 1)
001_F - Match found between block (0, 0) and block (1, 2)
001_F - Match found between block (0, 0) and block (1, 3)
001_F - Match found between block (0, 0) and block (1, 4)
001_F - Match found between block (0, 0) and block (1, 5)
001_F - Match found between block (0, 0) and block (1, 6)
001_F - Match found between block (0, 0) and block (2, 0)
001_F - Match found between block (0, 0) and block (2, 1)
001_F - Match found between block (0, 0) and block (2, 2)
001_F - Match found between block (0, 0) and block (2, 3)
001_F - Match found between block (0, 0) and block (2, 4)
001_F - Match found between block (0, 0) and block (2, 6)
001_F - Match found between block (0, 0) and block (3, 0)
001_F - Match found between block (0, 0) and block (3, 2)
001_F - Match found between block (0, 0) and block (3, 3)
001_F - Match found between block (0, 0) and block (30, 6)
001_F - Match found between block (0, 7) and block (1, 7)
001_F - Match found between block (0, 7) and block (1, 11)
001_F - Match found between block (0, 7) and block (1, 19)
001_F - Match found between block (0, 7) and block (3, 21)
001_F - Match found between block (0, 7) and block (4, 20)
001_F - Match found between block (0, 7) and block (5, 4)
001_F - Match found between block (0, 7) and block (6, 7)
001_F - Match found between block (0, 7) and block (8, 1)
001_F - Match found between block (0, 7) and block (9, 7)
001_F - Match found between block (0, 7) and block (9, 8)
001_F - Match found between block (0, 7) and block (9, 13)
001_F - Match found between block (0, 7) and block (10, 4)
001_F - Match found between block (0, 7) and block (10, 6)
001_F - Match found between block (0, 7) and block (10, 7)
001_F - Match found between block (0, 7) and block (10, 8)
001_F - Match found between block (0, 7) and block (10, 9)
001_F - Match found between block (0, 7) and block (10, 13)
001_F - Match found between block (0, 7) and block (10, 19)
001_F - Match found between block (0, 7) and block (11, 9)
001_F - Match found between block (0, 7) and block (11, 14)
001_F - Match found between block (0, 7) and block (12, 15)
001_F - Match found between block (0, 7) and block (14, 4)
001_F - Match found between block (0, 7) and block (14, 5)
001_F - Match found between block (0, 7) and block (14, 6)
001_F - Match found between block (0, 7) and block (14, 7)
001_F - Match found between block (0, 7) and block (15, 7)
001_F - Match found between block (0, 7) and block (15, 8)
001_F - Match found between block (0, 7) and block (15, 13)
001_F - Match found between block (0, 7) and block (15, 14)
001_F - Match found between block (0, 7) and block (16, 2)
001_F - Match found between block (0, 7) and block (16, 3)
001_F - Match found between block (0, 7) and block (16, 4)
001_F - Match found between block (0, 7) and block (16, 5)
001_F - Match found between block (0, 7) and block (16, 6)
001_F - Match found between block (0, 7) and block (16, 7)
001_F - Match found between block (0, 7) and block (16, 14)
001_F - Match found between block (0, 7) and block (16, 23)
001_F - Match found between block (0, 7) and block (17, 2)
001_F - Match found between block (0, 7) and block (17, 3)
001_F - Match found between block (0, 7) and block (17, 4)
001_F - Match found between block (0, 7) and block (17, 5)
001_F - Match found between block (0, 7) and block (17, 6)
001_F - Match found between block (0, 7) and block (17, 7)
001_F - Match found between block (0, 7) and block (20, 2)
001_F - Match found between block (0, 7) and block (20, 3)
001_F - Match found between block (0, 7) and block (20, 4)
001_F - Match found between block (0, 7) and block (20, 5)
001_F - Match found between block (0, 7) and block (20, 6)
001_F - Match found between block (0, 7) and block (20, 7)
001_F - Match found between block (0, 7) and block (20, 15)
001_F - Match found between block (0, 7) and block (21, 0)
001_F - Match found between block (0, 7) and block (21, 3)
001_F - Match found between block (0, 7) and block (21, 4)
001_F - Match found between block (0, 7) and block (21, 5)
001_F - Match found between block (0, 7) and block (21, 6)
001_F - Match found between block (0, 7) and block (21, 7)
001_F - Match found between block (0, 7) and block (21, 10)
001_F - Match found between block (0, 7) and block (21, 24)
001_F - Match found between block (0, 7) and block (22, 0)
001_F - Match found between block (0, 7) and block (22, 2)
001_F - Match found between block (0, 7) and block (22, 13)
001_F - Match found between block (0, 7) and block (22, 27)
001_F - Match found between block (0, 7) and block (24, 14)
001_F - Match found between block (0, 7) and block (25, 15)
001_F - Match found between block (0, 7) and block (28, 30)
001_F - Match found between block (0, 7) and block (29, 20)
001_F - Match found between block (0, 7) and block (30, 18)
001_F - Match found between block (0, 8) and block (0, 13)
001_F - Match found between block (0, 8) and block (0, 22)
001_F - Match found between block (0, 8) and block (0, 24)
001_F - Match found between block (0, 8) and block (0, 27)
001_F - Match found between block (0, 8) and block (0, 30)
001_F - Match found between block (0, 8) and block (1, 8)
001_F - Match found between block (0, 8) and block (1, 13)
001_F - Match found between block (0, 8) and block (1, 22)
001_F - Match found between block (0, 8) and block (1, 23)
001_F - Match found between block (0, 8) and block (1, 27)
001_F - Match found between block (0, 8) and block (1, 30)
001_F - Match found between block (0, 8) and block (2, 8)
001_F - Match found between block (0, 8) and block (2, 12)
001_F - Match found between block (0, 8) and block (2, 22)
001_F - Match found between block (0, 8) and block (2, 23)
001_F - Match found between block (0, 8) and block (2, 27)
001_F - Match found between block (0, 8) and block (2, 30)
001_F - Match found between block (0, 8) and block (3, 22)
001_F - Match found between block (0, 8) and block (3, 24)
001_F - Match found between block (0, 8) and block (3, 25)
001_F - Match found between block (0, 8) and block (3, 30)
001_F - Match found between block (0, 8) and block (4, 22)
001_F - Match found between block (0, 8) and block (4, 23)
001_F - Match found between block (0, 8) and block (4, 24)
001_F - Match found between block (0, 8) and block (4, 25)
001_F - Match found between block (0, 8) and block (4, 27)
001_F - Match found between block (0, 8) and block (4, 30)
001_F - Match found between block (0, 8) and block (5, 5)
001_F - Match found between block (0, 8) and block (5, 9)
001_F - Match found between block (0, 8) and block (5, 11)
001_F - Match found between block (0, 8) and block (5, 21)
001_F - Match found between block (0, 8) and block (5, 22)
001_F - Match found between block (0, 8) and block (5, 23)
001_F - Match found between block (0, 8) and block (5, 24)
001_F - Match found between block (0, 8) and block (5, 25)
001_F - Match found between block (0, 8) and block (5, 27)
001_F - Match found between block (0, 8) and block (5, 30)
001_F - Match found between block (0, 8) and block (6, 0)
001_F - Match found between block (0, 8) and block (6, 5)
001_F - Match found between block (0, 8) and block (6, 6)
001_F - Match found between block (0, 8) and block (6, 15)
001_F - Match found between block (0, 8) and block (6, 22)
001_F - Match found between block (0, 8) and block (6, 23)
001_F - Match found between block (0, 8) and block (6, 24)
001_F - Match found between block (0, 8) and block (6, 25)
001_F - Match found between block (0, 8) and block (6, 30)
001_F - Match found between block (0, 8) and block (7, 8)
001_F - Match found between block (0, 8) and block (7, 16)
001_F - Match found between block (0, 8) and block (7, 20)
001_F - Match found between block (0, 8) and block (7, 22)
001_F - Match found between block (0, 8) and block (7, 23)
001_F - Match found between block (0, 8) and block (7, 24)
001_F - Match found between block (0, 8) and block (7, 25)
001_F - Match found between block (0, 8) and block (7, 30)
001_F - Match found between block (0, 8) and block (8, 2)
001_F - Match found between block (0, 8) and block (8, 3)
001_F - Match found between block (0, 8) and block (8, 10)
001_F - Match found between block (0, 8) and block (8, 13)
001_F - Match found between block (0, 8) and block (8, 22)
001_F - Match found between block (0, 8) and block (8, 23)
