Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
096_R - Match found between block (0, 0) and block (0, 1)
096_R - Match found between block (0, 0) and block (0, 2)
096_R - Match found between block (0, 0) and block (0, 3)
096_R - Match found between block (0, 0) and block (0, 4)
096_R - Match found between block (0, 0) and block (0, 5)
096_R - Match found between block (0, 0) and block (0, 6)
096_R - Match found between block (0, 0) and block (0, 7)
096_R - Match found between block (0, 0) and block (0, 8)
096_R - Match found between block (0, 0) and block (0, 9)
096_R - Match found between block (0, 0) and block (0, 10)
096_R - Match found between block (0, 0) and block (0, 11)
096_R - Match found between block (0, 0) and block (0, 12)
096_R - Match found between block (0, 0) and block (0, 13)
096_R - Match found between block (0, 0) and block (0, 14)
096_R - Match found between block (0, 0) and block (0, 15)
096_R - Match found between block (0, 0) and block (0, 16)
096_R - Match found between block (0, 0) and block (0, 17)
096_R - Match found between block (0, 0) and block (0, 18)
096_R - Match found between block (0, 0) and block (0, 19)
096_R - Match found between block (0, 0) and block (0, 20)
096_R - Match found between block (0, 0) and block (0, 21)
096_R - Match found between block (0, 0) and block (0, 22)
096_R - Match found between block (0, 0) and block (0, 23)
096_R - Match found between block (0, 0) and block (0, 24)
096_R - Match found between block (0, 0) and block (0, 25)
096_R - Match found between block (0, 0) and block (0, 26)
096_R - Match found between block (0, 0) and block (0, 27)
096_R - Match found between block (0, 0) and block (0, 28)
096_R - Match found between block (0, 0) and block (0, 29)
096_R - Match found between block (0, 0) and block (0, 30)
096_R - Match found between block (0, 0) and block (0, 31)
096_R - Match found between block (0, 0) and block (1, 0)
096_R - Match found between block (0, 0) and block (1, 1)
096_R - Match found between block (0, 0) and block (1, 2)
096_R - Match found between block (0, 0) and block (1, 3)
096_R - Match found between block (0, 0) and block (1, 4)
096_R - Match found between block (0, 0) and block (1, 5)
096_R - Match found between block (0, 0) and block (1, 6)
096_R - Match found between block (0, 0) and block (1, 7)
096_R - Match found between block (0, 0) and block (1, 8)
096_R - Match found between block (0, 0) and block (1, 9)
096_R - Match found between block (0, 0) and block (1, 10)
096_R - Match found between block (0, 0) and block (1, 11)
096_R - Match found between block (0, 0) and block (1, 12)
096_R - Match found between block (0, 0) and block (1, 13)
096_R - Match found between block (0, 0) and block (1, 14)
096_R - Match found between block (0, 0) and block (1, 15)
096_R - Match found between block (0, 0) and block (1, 16)
096_R - Match found between block (0, 0) and block (1, 17)
096_R - Match found between block (0, 0) and block (1, 18)
096_R - Match found between block (0, 0) and block (1, 19)
096_R - Match found between block (0, 0) and block (1, 20)
096_R - Match found between block (0, 0) and block (1, 21)
096_R - Match found between block (0, 0) and block (1, 22)
096_R - Match found between block (0, 0) and block (1, 23)
096_R - Match found between block (0, 0) and block (1, 24)
096_R - Match found between block (0, 0) and block (1, 25)
096_R - Match found between block (0, 0) and block (1, 26)
096_R - Match found between block (0, 0) and block (1, 27)
096_R - Match found between block (0, 0) and block (1, 28)
096_R - Match found between block (0, 0) and block (1, 29)
096_R - Match found between block (0, 0) and block (1, 30)
096_R - Match found between block (0, 0) and block (1, 31)
096_R - Match found between block (0, 0) and block (2, 0)
096_R - Match found between block (0, 0) and block (2, 1)
096_R - Match found between block (0, 0) and block (2, 2)
096_R - Match found between block (0, 0) and block (2, 3)
096_R - Match found between block (0, 0) and block (2, 4)
096_R - Match found between block (0, 0) and block (2, 5)
096_R - Match found between block (0, 0) and block (2, 6)
096_R - Match found between block (0, 0) and block (2, 7)
096_R - Match found between block (0, 0) and block (2, 8)
096_R - Match found between block (0, 0) and block (2, 9)
096_R - Match found between block (0, 0) and block (2, 10)
096_R - Match found between block (0, 0) and block (2, 11)
096_R - Match found between block (0, 0) and block (2, 12)
096_R - Match found between block (0, 0) and block (2, 13)
096_R - Match found between block (0, 0) and block (2, 14)
096_R - Match found between block (0, 0) and block (2, 15)
096_R - Match found between block (0, 0) and block (2, 16)
096_R - Match found between block (0, 0) and block (2, 17)
096_R - Match found between block (0, 0) and block (2, 18)
096_R - Match found between block (0, 0) and block (2, 19)
096_R - Match found between block (0, 0) and block (2, 20)
096_R - Match found between block (0, 0) and block (2, 21)
096_R - Match found between block (0, 0) and block (2, 22)
096_R - Match found between block (0, 0) and block (2, 23)
096_R - Match found between block (0, 0) and block (2, 24)
096_R - Match found between block (0, 0) and block (2, 25)
096_R - Match found between block (0, 0) and block (2, 26)
096_R - Match found between block (0, 0) and block (2, 27)
096_R - Match found between block (0, 0) and block (2, 28)
096_R - Match found between block (0, 0) and block (2, 29)
096_R - Match found between block (0, 0) and block (2, 30)
096_R - Match found between block (0, 0) and block (2, 31)
096_R - Match found between block (0, 0) and block (3, 0)
096_R - Match found between block (0, 0) and block (3, 1)
096_R - Match found between block (0, 0) and block (3, 2)
096_R - Match found between block (0, 0) and block (3, 3)
096_R - Match found between block (0, 0) and block (3, 4)
096_R - Match found between block (0, 0) and block (3, 5)
096_R - Match found between block (0, 0) and block (3, 6)
096_R - Match found between block (0, 0) and block (3, 7)
096_R - Match found between block (0, 0) and block (3, 8)
096_R - Match found between block (0, 0) and block (3, 9)
096_R - Match found between block (0, 0) and block (3, 10)
096_R - Match found between block (0, 0) and block (3, 11)
096_R - Match found between block (0, 0) and block (3, 12)
096_R - Match found between block (0, 0) and block (3, 13)
096_R - Match found between block (0, 0) and block (3, 14)
096_R - Match found between block (0, 0) and block (3, 15)
096_R - Match found between block (0, 0) and block (3, 16)
096_R - Match found between block (0, 0) and block (3, 17)
096_R - Match found between block (0, 0) and block (3, 18)
096_R - Match found between block (0, 0) and block (3, 19)
096_R - Match found between block (0, 0) and block (3, 20)
096_R - Match found between block (0, 0) and block (3, 21)
